name,ra,dec
1874742691833604096,49.283763,41.569067
1875826260794435584,49.300826,41.381144
1874685242351052800,49.334213,41.33003
1875825161282807808,49.359368,41.335517
1874758359874299904,49.686741,41.51144
1875886459056056320,49.686705,41.511441
1875877662963034112,49.55457,41.802521
1875864468823500800,49.627406,42.258764
1874688540885936128,49.515435,41.323056
1874685517228959744,49.502839,41.299091
1875804545439787008,49.470279,40.897226
1874668749676636160,49.979928,41.172643
1875794374957230080,49.979895,41.172622
1875898553683961856,50.106903,42.070372
1874688815763843072,49.608929,41.18748
1874673972356868096,49.61521,41.321313
1875788602521184256,50.141522,41.221872
1874651157490591744,50.351383,41.135872
1875778157160720384,50.529746,41.112341
1874652806758033408,50.529759,41.11232
