objid,ra,dec,u,g,r,i,z,photoZ,type
1237661059574661461,50.6456877339025,41.0721808804444,24.43876,24.9978,22.87498,23.27247,21.64351,0.028931,3
1237661083199668321,50.6466311343482,40.6471058265891,12.9942,10.97638,10.08539,11.6169,10.63716,0.012487,3
1237661055818271052,49.2126200462262,42.2160239144547,23.05878,24.6183,22.22242,21.9758,22.07405,0.022111,3
1237661082662405095,49.3861761384655,40.7830568812495,23.44488,22.7272,23.0962,23.73818,22.34417,0.006613,3
1237661083199078605,49.2142427557717,41.4593744583511,17.82329,16.07929,15.30101,15.8193,14.64939,0.018372,3
1237661055818531546,49.8553941586914,41.8901006272664,24.65674,25.22565,22.65908,23.55401,22.76359,0.007608,3
1237661055281726387,49.575514197229,41.4865655944704,18.79528,17.86434,17.51773,17.31225,17.19077,0.015904,3
1237661059574071741,49.2852293031056,41.8891558033869,24.61959,22.74701,23.91345,22.287,22.4359,0.023748,3
1237661060111008912,49.7685635104009,42.1841235312191,19.72192,18.42307,17.96567,17.78187,17.69132,0.023422,3
1237670456974313590,50.0663988180137,40.5932539057929,22.97352,26.46167,22.38637,21.20207,20.68616,0.011076,3
1237661055281856931,50.0421996125602,41.3511482538135,17.10548,15.74791,15.11414,14.76745,14.51991,0.020004,3
1237661121851556363,50.6884059750113,40.514838084822,14.62156,10.88519,10.45622,10.43075,11.06054,0.017573,3
1237670458048514155,50.0008665477327,41.8258988128727,25.64142,22.96439,21.49149,21.78617,21.25604,0.028163,3
1237661055818531293,49.8447345695362,41.9640264785998,24.62614,25.67149,20.5845,19.85759,20.81868,0.008388,3
1237661059574137095,49.4867900064877,41.8993650780965,24.77493,25.10549,23.45098,24.31784,22.65147,0.027516,3
1237661055281594517,49.2657754579057,41.6374479566304,19.40377,18.20939,17.7254,17.49673,17.4724,0.020802,3
1237661083199406168,50.0186672166686,41.0382743732819,24.70334,22.54443,24.79794,21.30344,22.15709,0.028532,3
1237670959484306637,50.0173655847328,40.8587974696231,18.59301,16.94278,16.3387,16.03479,15.89696,0.027448,3
1237661059574333557,49.9509598680934,41.5471605767789,15.48645,15.26907,14.49405,14.41704,13.83288,0.029625,3
1237661082662338886,49.2770340633685,40.8998561380682,16.07058,14.70689,14.16712,13.9924,13.80719,0.007981,3
1237661055818334873,49.2996768054524,42.1195580092807,24.57342,25.13743,24.79298,22.33572,22.14144,0.016047,3
1237661082662338721,49.2024371756762,40.8826801358053,17.73339,16.47499,15.87072,15.56641,15.35249,0.017532,3
1237661055281660194,49.4974439119219,41.6110989246516,25.10201,22.69744,23.04915,22.8426,22.24261,0.018421,3
1237661055818334358,49.2899104782221,42.2127356716286,23.83875,21.37324,20.71489,20.34352,21.10143,0.011473,3
1237661059574203219,49.6476069537343,41.6670269553053,16.7221,15.22925,14.44279,14.02603,13.84087,0.0299,3
1237661060111009021,49.7600765495014,42.1225635402783,18.72016,17.53469,17.05052,16.77454,16.57496,0.026781,3
1237661082662472336,49.6461033050127,40.6977868569804,26.69589,22.62704,22.50187,20.38555,19.75837,0.0161,3
1237661083199406097,49.9446545733159,40.9717765937255,14.73749,12.32966,11.82281,11.69449,11.88676,0.018081,3
1237661055818531541,49.8639605468962,41.8889967974692,24.18181,17.12122,16.77608,16.21551,17.10397,0.007981,3
1237661059574137466,49.4724078701802,41.7410999930444,17.7247,16.4733,16.07454,15.80582,15.93969,0.016872,3
1237661060111009840,49.7449608212287,42.1482025273691,25.57532,24.60946,24.52968,22.27682,22.07354,0.029116,3
1237661060111139237,50.0758757687107,41.9149167298264,17.59479,15.83212,15.18779,14.86392,14.90942,0.014323,3
1237661055281987883,50.2501436666416,41.0957893332339,15.13015,14.9917,14.75515,14.31745,13.5959,0.029005,3
