objID,ra,dec,run,rerun,camcol,field,type,u0,g0,r0,i0,z0,Redshift
1237657069546045547,21.8447495675821,-0.865857136644186,2700,301,1,11,GALAXY,18.86256,17.33891,16.64217,16.31264,16.07561,0.0184128
1237657069546111033,21.8981927843691,-0.988709134713068,2700,301,1,12,GALAXY,18.29914,16.68348,15.98655,15.6388,15.40237,0.01685611
1237657069546504369,22.8665815164567,-0.934214028525471,2700,301,1,18,GALAXY,18.81321,17.35208,16.67263,16.35828,16.15424,0.01792708
1237657069546831989,23.5315245012066,-1.0483782385869,2700,301,1,23,GALAXY,18.78121,17.25762,16.62786,16.30831,16.11285,0.01610398
1237668314309918729,209.347504574464,15.4592645359507,5318,301,2,51,GALAXY,18.71203,17.2207,16.62819,16.34444,16.15074,0.01789381
1237655108918509718,201.827361192606,59.5028615347553,2243,301,5,393,GALAXY,17.47762,16.11477,15.25686,14.84134,14.498,0.01641387
1237658203430125726,159.424630839314,46.0424894218806,2964,301,1,205,GALAXY,17.62376,16.01339,15.33927,14.94912,14.86444,0.01779271
1237658203962409162,145.861543875973,42.1867918510673,2964,301,2,135,GALAXY,17.55432,16.12366,15.39678,15.0248,14.67354,0.01754779
1237661972269891724,209.467586361387,7.41349676739421,3841,301,5,296,GALAXY,17.33589,15.85116,15.04671,14.69007,14.42687,0.01560619
1237679253052784751,15.9784243081611,-5.93876435873774,7865,301,1,21,GALAXY,18.34095,16.75776,16.00971,15.61817,15.33232,0.01853699
1237679253595619454,29.6268948239164,-5.11111068224474,7865,301,2,112,GALAXY,18.27997,16.99554,16.08849,15.63137,15.27597,0.01629027
1237648720676061449,139.395553411012,-0.582660058077055,756,301,2,157,GALAXY,17.62009,15.90034,15.17048,14.81793,14.51153,0.01677898
1237659161202655521,243.725964762945,37.6038474863615,3187,301,1,126,GALAXY,17.87391,16.54261,15.8991,15.58695,15.30428,0.01620088
1237663783130562587,15.8079010671602,-0.71237171264669,4263,301,2,221,GALAXY,17.99212,16.34031,15.60665,15.22616,15.0822,0.0169473
1237663783130759380,16.2794044466845,-0.819472507524618,4263,301,2,224,GALAXY,19.26171,17.75154,17.06179,16.73709,16.48266,0.01773771
1237663783132987505,21.3428108394853,-0.644177558826371,4263,301,2,258,GALAXY,18.78348,17.28934,16.62318,16.2783,16.06879,0.01778691
1237663783133577457,22.710397180576,-0.749769400471302,4263,301,2,267,GALAXY,19.5396,17.92066,17.26476,16.97757,16.82464,0.01718708
