ObjectName,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,Redshift,RedshiftFlag
IVZw038NOTES15,1237680316058304809,17.3222786912551,32.6113067842491,8112,301,5,38,GALAXY,19.58102,17.459229999999998,16.43703,16.01473,15.67513,0.066308,SPEC
WHLJ010942.8+321639,1237680315521499274,17.4283861923859,32.2774815199814,8112,301,4,39,GALAXY,19.28566,17.39932,16.30085,15.79945,15.38015,0.1147,SPEC
2MASXJ01094280+3216390,1237680315521499274,17.4283861923859,32.2774815199814,8112,301,4,39,GALAXY,19.28566,17.39932,16.30085,15.79945,15.38015,0.114346,SPEC
2MASXJ01094004+3213539,1237680315521499270,17.4169914585655,32.2316976112168,8112,301,4,39,GALAXY,19.38819,17.433310000000002,16.35997,15.89763,15.51898,0.11495,SPEC
CGCG501-105,1237680316058304582,17.3351327779267,32.7228557772865,8112,301,5,38,GALAXY,17.69355,25.21871,16.13597,15.38638,14.748679999999998,0.034811,
WHLJ010535.2+324750,1237680316057976960,16.3965321005214,32.797349726342304,8112,301,5,33,GALAXY,18.98205,17.23975,16.219920000000002,15.76975,15.36385,0.1097,SPEC
2MASXJ01053516+3247506,1237680316057976960,16.3965321005214,32.797349726342304,8112,301,5,33,GALAXY,18.98205,17.23975,16.219920000000002,15.76975,15.36385,0.109749,SPEC
2MASXJ01050271+3238584,1237680316057911397,16.261198546387998,32.6496824263056,8112,301,5,32,GALAXY,19.430020000000006,17.37347,16.3441,15.89037,15.51115,0.126864,SPEC
2MASXJ01074714+3150562,1237680314984431936,16.9464996619807,31.8490141624752,8112,301,3,36,GALAXY,19.50558,17.29487,16.16753,15.68355,15.26438,0.123237,SPEC
2MASXJ01085584+3152136,1237680314984562979,17.2327400522903,31.8703490189259,8112,301,3,38,GALAXY,18.242,16.408479999999994,15.52226,15.09634,14.7299,0.06696,
2MASXJ01104774+3228382,1237680311772643343,17.699021440246998,32.477184565581105,8111,301,5,180,GALAXY,19.39019,17.03283,15.94455,15.29774,14.80628,0.070829,SPEC
2MASXJ01102380+3203378,1237680311235707173,17.5993082393946,32.0603514455749,8111,301,4,179,GALAXY,19.18729,17.36965,16.39838,15.9404,15.54682,0.113433,SPEC
2MASXJ01055674+3304077,1237680316594848041,16.4865893906858,33.068799773649204,8112,301,6,33,GALAXY,20.02595,17.43393,16.47251,16.001170000000002,15.674270000000002,0.10849,SPEC
2MASXJ01045572+3256506,1237680312308924770,16.2321209060769,32.9473640542281,8111,301,6,171,GALAXY,19.54908,17.43727,16.33871,15.85808,15.44194,0.111826,SPEC
2MASXJ01062817+3140568,1237680310698508551,16.6174222662614,31.6823873514345,8111,301,3,174,GALAXY,19.18667,17.28197,16.23868,15.73148,15.33979,0.11996099999999997,SPEC
2MASXJ01063088+3309098,1237680316594913449,16.628849609797598,33.1527486514013,8112,301,6,34,GALAXY,19.77249,17.40419,16.360529999999994,15.88245,15.52045,0.108948,SPEC
2MASXJ01042894+3157236,1237680314984169638,16.120702308213698,31.956652476318602,8112,301,3,32,GALAXY,19.35426,17.32915,16.30043,15.859370000000002,15.46804,0.105928,SPEC
2MASXJ01040869+3202229,1237680311235182738,16.036119802931598,32.0396665436381,8111,301,4,171,GALAXY,19.19807,17.26264,16.26551,15.830570000000002,15.469879999999998,0.107096,SPEC
2MASXJ01042232+3252048,1237680312308859194,16.0931532984657,32.868066651071,8111,301,6,170,GALAXY,18.6234,17.13364,16.2838,15.79435,15.46051,0.983159,SPEC
WHLJ011052.0+320609,1237680315521630315,17.716471929138102,32.102603746050896,8112,301,4,41,GALAXY,18.89671,16.91831,15.832820000000002,15.36621,14.95382,0.1108,SPEC
2MASXJ01105613+3207402,1237680315521630342,17.7338211281102,32.128052182233404,8112,301,4,41,GALAXY,19.43151,17.46698,16.478679999999994,16.03855,15.66815,0.110763,SPEC
WHLJ010409.4+315517,1237680478199152963,16.039200159645098,31.921291469538602,8150,301,3,127,GALAXY,19.31073,17.17973,16.11219,15.64703,15.26131,0.1064,SPEC
2MASXJ01043453+3147327,1237680310698312012,16.1439459759067,31.7924758780187,8111,301,3,171,GALAXY,19.51085,17.342270000000006,16.33298,15.87999,15.45811,0.107266,SPEC
2MASXJ01060065+3316337,1237678892277170241,16.5027387499135,33.276020410592,7781,301,1,46,GALAXY,19.79391,17.40534,16.3087,15.812220000000002,15.436370000000002,0.111374,SPEC
2MASXJ01082570+3318299,1237678892277367333,17.1070431817034,33.308265989198496,7781,301,1,49,GALAXY,19.07463,17.09037,16.06569,15.542229999999998,15.10324,0.08208,SPEC
2MASXJ01080914+3322528,1237678806382018837,17.0381452812375,33.3811387279893,7761,301,1,110,GALAXY,19.22963,17.23405,16.2403,15.78052,15.42645,0.079307,SPEC
2MASXJ01255535+3326144,1237678806920462613,21.4807519791277,33.4372902488792,7761,301,2,134,GALAXY,18.29979,16.46347,15.52752,15.07844,14.71183,0.048904,
2MASSJ01214086+3234102,1237666214614794639,20.4202617073823,32.5694802876357,4829,301,3,158,GALAXY,19.15909,17.320420000000002,16.42331,15.97758,15.646070000000002,0.05704600000000001,SPEC
2MASXJ01204408+3348062,1237666215152189969,20.183752501731,33.8017520930154,4829,301,4,166,GALAXY,19.30202,17.41679,16.495820000000002,16.04417,15.70154,0.083289,SPEC
2MASXJ01201261+3346571,1237678893352157469,20.052643175715694,33.782586162448,7781,301,3,65,GALAXY,18.23597,16.84197,16.05707,15.587370000000002,15.273229999999998,0.084025,SPEC
2MASSJ03190509+4128126,1237661055281725886,49.7712214287967,41.470204476837104,3628,301,1,103,GALAXY,18.21452,16.56214,15.72185,15.22267,14.77678,0.051851,SPEC
2MASXJ03221984+4115189,1237661059574595780,50.5828459174039,41.2553051926024,3629,301,1,71,GALAXY,18.17199,16.4877,15.59589,15.17375,14.82199,0.040445,SPEC
2MASXJ03233016+4133565,1237661060111467492,50.875648510284215,41.5657981518931,3629,301,2,71,GALAXY,19.4333,17.1502,16.10726,15.63498,15.1697,0.048957,SPEC
2MASXJ03212782+4052199,1237661083199537291,50.366149968117504,40.8722375517557,3634,301,5,111,GALAXY,17.557679999999998,16.2446,15.55624,15.136220000000002,14.872370000000002,0.052054,SPEC
2MASXJ03233837+4150195,1237661056355729567,50.909961133267096,41.8388566258744,3628,301,3,107,GALAXY,19.43691,25.10749,16.15054,15.50511,15.13052,0.048673,SPEC
