ObjectName,objID,ra,dec,run,rerun,camcol,field,type,u0,g0,r0,i0,z0,Redshift,RedshiftFlag
NGC0386,1237680315521302757,16.8804167368139,32.3619239226201,8112,301,4,36,GALAXY,16.35598,14.587760000000001,13.821270000000002,13.4313,13.12566,0.018533,
SDSSJ010714.97+322204.7,1237680315521237929,16.8124069884332,32.367994886816604,8112,301,4,35,GALAXY,21.60529,22.60405,21.24989,20.2235,19.8762,0.489833,SPEC
2MASXJ01070798+3223335,1237680311772250504,16.78312362938,32.3925802478227,8111,301,5,174,GALAXY,20.13362,18.3241,17.19614,16.741970000000002,16.40898,0.15393099999999998,SPEC
SDSSJ010706.70+322257.6,1237680311772250496,16.7779437024662,32.382681243738,8111,301,5,174,GALAXY,23.69321,20.41403,18.64558,18.01313,17.69742,0.367908,SPEC
UGC00679,1237680311772250464,16.7650049756796,32.3895546788151,8111,301,5,174,GALAXY,17.1425,16.048560000000002,15.638279999999998,15.42416,15.292879999999998,0.016998,
2MASXJ01071026+3220485,1237680315521237319,16.7928263637264,32.3468723190341,8112,301,4,35,GALAXY,18.42509,16.79932,16.11763,15.771429999999999,15.497720000000001,0.014159999999999999,
NGC0375,1237680315521237284,16.7746677651008,32.348110476234496,8112,301,4,35,GALAXY,16.67442,14.972920000000002,14.215620000000001,13.817039999999999,13.52815,0.019530000000000002,
NGC0385,1237680315521302536,16.863443927851698,32.319863750622,8112,301,4,36,GALAXY,15.26774,13.425329999999999,12.60847,12.21577,11.98954,0.016595,
SDSSJ010700.04+322915.4,1237680311772250433,16.7501692509428,32.4876162300731,8111,301,5,174,GALAXY,25.73051,21.673170000000002,20.19729,19.14126,18.62998,-0.000148,SPEC
SDSSJ010703.19+321930.2,1237680315521237663,16.7633045331268,32.3250828685831,8112,301,4,35,GALAXY,25.28541,21.15448,19.369429999999998,18.66347,18.47064,0.36938000000000004,SPEC
NGC0384,1237680315521302535,16.8542391137913,32.292752854250494,8112,301,4,36,GALAXY,15.61294,13.706520000000001,12.83788,12.429310000000001,12.138589999999999,0.014119999999999999,
SDSSJ010746.28+321840.4,1237680315521302830,16.9428786454543,32.3112380296169,8112,301,4,36,GALAXY,22.05215,22.76932,19.85489,18.33902,17.56501,-3.7e-05,SPEC
NGC0388,1237680315521302829,16.94647046683,32.3099284369802,8112,301,4,36,GALAXY,16.78941,14.939820000000001,14.147110000000001,13.775179999999999,13.46625,0.018159,
SDSSJ010759.25+322116.5,1237680311772381881,16.9969153713591,32.354600777567704,8111,301,5,176,GALAXY,22.5686,21.66319,20.12854,19.28841,19.016370000000002,0.48248,SPEC
