ObjectName,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,Redshift,RedshiftFlag
SDSSJ012353.87+331427.1,1237678892815680242,20.9744692444079,33.2408849176715,7781,301,2,71,GALAXY,23.217579999999998,21.62203,20.0851,18.783160000000002,17.92096,-8.3e-05,SPEC
SDSSJ012333.68+331927.2,1237678806920266492,20.8903532000318,33.3242324226615,7761,301,2,131,GALAXY,26.12337,21.41372,19.371470000000002,18.79947,18.19681,0.409821,SPEC
NGC0503,1237678806920265786,20.8684379630373,33.3318310108531,7761,301,2,131,GALAXY,16.84275,14.963239999999999,13.97122,13.604779999999998,13.303770000000002,0.019754,
ARK039,1237678806920331477,20.993832818324,33.3132387260292,7761,301,2,132,GALAXY,16.727829999999997,14.85966,13.9903,13.569370000000001,13.24555,0.016752,
2MASXJ01234321+3321012,1237678806920266099,20.9301228085221,33.350463424063804,7761,301,2,131,GALAXY,20.60455,18.39374,16.98464,16.44493,16.05157,0.210722,SPEC
SDSSJ012407.98+331510.6,1237666214078251238,21.0332827464047,33.2529474574358,4829,301,2,163,GALAXY,21.12624,20.219089999999998,19.73185,19.02049,19.40612,0.25288099999999997,SPEC
2MASXJ01235909+3319541,1237678806920331280,20.9960388802271,33.3315010431732,7761,301,2,132,GALAXY,17.976979999999998,16.33028,15.53946,15.158660000000001,14.85466,0.014974000000000001,
SDSSJ012318.29+331944.4,1237678806920265995,20.8262245610557,33.3289984437565,7761,301,2,131,GALAXY,25.67504,21.94152,20.4831,19.6361,19.062920000000002,0.447988,SPEC
IC1690,1237678892815679817,20.956411760549397,33.1562363547456,7781,301,2,71,GALAXY,16.83667,14.89132,14.035420000000002,13.61219,13.23823,0.015463999999999999,
SDSSJ012411.21+331412.1,1237666214078251592,21.0467327223717,33.2367160123775,4829,301,2,163,GALAXY,21.9906,20.23011,18.97914,18.40113,18.09112,0.223496,SPEC
SDSSJ012406.33+330943.8,1237666214078251844,21.0263947301545,33.162170681492,4829,301,2,163,GALAXY,22.13348,21.14367,19.3445,18.69378,18.01586,0.303639,SPEC
SDSSJ012308.93+331956.9,1237678806920201065,20.787220183789803,33.3324943445553,7761,301,2,130,GALAXY,25.37497,22.71787,20.44591,19.50281,18.9227,0.44851499999999994,SPEC
SDSSJ012301.13+331516.3,1237678892815549502,20.754719976033197,33.2545336522138,7781,301,2,69,GALAXY,23.03555,21.67257,19.83792,19.02062,18.539460000000002,0.448743,SPEC
2MASXJ01232343+3322542,1237678806920266014,20.8476904762671,33.3816896619527,7761,301,2,131,GALAXY,17.98633,16.29919,15.500379999999998,15.1068,14.81529,0.016278,
WHLJ012356.6+330657,1237666214078186055,20.985655516708,33.1159689072605,4829,301,2,162,GALAXY,22.38175,19.73284,18.25113,17.68349,17.31757,0.2536,SPEC
2MASSJ01235652+3306576,1237666214078186055,20.985655516708,33.1159689072605,4829,301,2,162,GALAXY,22.38175,19.73284,18.25113,17.68349,17.31757,0.253552,SPEC
SDSSJ012259.77+331141.3,1237678892815549508,20.749059725884603,33.194827547730306,7781,301,2,69,GALAXY,26.943609999999996,21.29601,19.65007,18.81583,18.38922,0.450745,SPEC
SDSSJ012300.75+331057.0,1237678892815549527,20.7531590833903,33.1825138004927,7781,301,2,69,GALAXY,23.466070000000002,21.92555,20.6853,19.81266,19.096120000000003,0.457663,SPEC
2MASXJ01234027+3305532,1237678806383395589,20.917657621230198,33.0981897659993,7761,301,1,131,GALAXY,21.61646,19.93945,18.39059,17.80167,17.483220000000003,0.255186,SPEC
2MASXJ01234321+3324592,1237678806920266074,20.9298832545052,33.4163396585354,7761,301,2,131,GALAXY,17.5608,15.839039999999999,15.039710000000001,14.649170000000002,14.363920000000002,0.018683,
SDSSJ012423.89+331852.4,1237666214078317355,21.099579505999397,33.3145802778177,4829,301,2,164,GALAXY,23.96819,22.45874,20.602320000000002,19.59188,19.01135,0.5614439999999999,SPEC
2MASXJ01230483+3322062,1237678806920200589,20.7700421049497,33.3684883177292,7761,301,2,130,GALAXY,23.44858,19.846629999999998,18.26474,17.673170000000002,17.32187,0.281686,SPEC
2MASSJ01233189+3305142,1237678806383395188,20.8829008154661,33.0873741384627,7761,301,1,131,GALAXY,22.1804,19.84145,18.28069,17.7036,17.28383,0.253653,SPEC
WHLJ012331.9+330515,1237678806383395188,20.8829008154661,33.0873741384627,7761,301,1,131,GALAXY,22.1804,19.84145,18.28069,17.7036,17.28383,0.2544,SPEC
WHLJ012309.3+332335,1237678806920200659,20.7888560044261,33.3930078925855,7761,301,2,130,GALAXY,21.3756,19.38552,17.701179999999997,17.11935,16.72512,0.2798,SPEC
[WH2015]0093,1237678806920200659,20.7888560044261,33.3930078925855,7761,301,2,130,GALAXY,21.3756,19.38552,17.701179999999997,17.11935,16.72512,0.27899999999999997,SPEC
2MASXJ01230930+3323342,1237678806920200659,20.7888560044261,33.3930078925855,7761,301,2,130,GALAXY,21.3756,19.38552,17.701179999999997,17.11935,16.72512,0.27794800000000003,SPEC
NGC0494,1237666214615121949,20.730694687690498,33.1739180077024,4829,301,3,163,GALAXY,15.266910000000001,13.441189999999999,12.54036,12.07358,11.72401,0.018219,
IC1688,1237678806383394934,20.8668758638701,33.08306814871,7761,301,1,131,GALAXY,17.80856,15.94335,15.10639,14.67874,14.359179999999999,0.016755000000000003,
SDSSJ012249.84+331314.4,1237666214615122908,20.7076613676077,33.2206809797885,4829,301,3,163,GALAXY,23.193820000000002,21.71939,20.204279999999997,19.28345,18.86841,0.498076,SPEC
2MASSJ01232381+3325317,1237678806920265750,20.849106247153397,33.4254688736037,7761,301,2,131,GALAXY,22.42165,19.986539999999998,18.39518,17.83923,17.48184,0.275617,SPEC
SDSSJ012310.41+332413.5,1237678806920200386,20.7933871171272,33.4037696128643,7761,301,2,130,GALAXY,22.7534,21.4601,19.83191,18.95072,18.37071,0.46267299999999995,SPEC
NGC0501,1237678806920265748,20.8433503373436,33.4329472666362,7761,301,2,131,GALAXY,16.92335,14.987879999999999,14.09864,13.64655,13.31378,0.016712,
SDSSJ012247.30+331111.6,1237666214615122819,20.6971134567039,33.1865768455455,4829,301,3,163,GALAXY,23.59376,21.74256,20.356679999999997,19.364829999999998,18.866670000000003,0.554191,SPEC
