ObjectName,objID,ra,dec,run,rerun,camcol,field,type,u0,g0,r0,i0,z0,Redshift,RedshiftFlag
GALEXMSCJ031926.77+413303.4,1237661059574334542,49.8638587981325,41.5577470524249,3629,301,1,67,GALAXY,22.77582,21.35618,20.07635,19.22329,19.02095,0.236697,
2MASXJ03194485+4123551,1237661122388033863,49.936755122073706,41.3986865833141,3643,301,6,64,GALAXY,19.85011,17.67934,16.67815,16.283910000000002,16.02011,0.135237,SPEC
GALEXASCJ031946.16+413735.7,1237661059574334251,49.9432665535826,41.6260932546925,3629,301,1,67,GALAXY,22.80885,21.34817,20.67822,20.30177,20.03418,1.307,
ABELL0426:[CGW2003]19,1237661059574269819,49.7892137071488,41.5253553846134,3629,301,1,66,GALAXY,21.03937,20.10114,19.5621,19.2715,19.07069,0.22524499999999997,
ABELL0426:[CGW2003]18,1237661059574270262,49.787360085250796,41.54502560382021,3629,301,1,66,GALAXY,21.75076,20.981679999999997,20.53663,20.28472,20.1354,0.156461,
2MASSJ03190509+4128126,1237661055281725886,49.7712214287967,41.470204476837104,3628,301,1,103,GALAXY,17.37748,15.94626,15.275160000000001,14.88396,14.536629999999999,0.051851,SPEC
2MASXJ03200094+4120273,1237661055281857482,50.003964313248396,41.3409569285286,3628,301,1,105,GALAXY,20.25488,18.25254,17.22767,16.82025,16.4851,0.13616,SPEC
2MASSJ03204657+4130435,1237661059574400342,50.193912184956,41.5120604172592,3629,301,1,68,GALAXY,18.39239,17.44303,17.05527,16.738139999999998,16.69556,0.080256,SPEC
ABELL0426:[CGW2003]05,1237661122387969294,49.732113761974105,41.3949197037444,3643,301,6,63,GALAXY,22.85511,21.07549,20.27019,19.96787,19.90019,0.268802,
2MASXJ03193195+4118151,1237661055281856551,49.88319112645679,41.304233806130796,3628,301,1,105,GALAXY,18.437720000000002,16.94269,16.118920000000003,15.73993,15.49871,0.11596,SPEC
2MASSJ03204249+4141408,1237661055818663393,50.17759745622521,41.69471199381611,3628,301,2,104,GALAXY,20.23378,18.30601,17.358179999999997,16.9568,16.66113,0.085739,SPEC
2MASXJ03201053+4114443,1237661055281856842,50.043779655270995,41.245615103516705,3628,301,1,105,GALAXY,18.76813,17.36639,16.68432,16.29661,16.093870000000003,0.084499,SPEC
2MASSJ03183962+4146189,1237661059574203660,49.6650996589946,41.772003402866794,3629,301,1,65,GALAXY,18.32798,17.33775,16.90288,16.57909,16.47411,0.13508299999999998,SPEC
2MASXJ03180371+4119227,1237661083199144664,49.5154139264175,41.323059919566205,3634,301,5,105,GALAXY,18.998829999999998,17.06696,16.2399,15.849229999999999,15.55807,0.066219,SPEC
2MASXJ03191184+4107570,1237661083199275743,49.799339418319505,41.132513765585706,3634,301,5,107,GALAXY,19.15792,17.517120000000002,16.23593,15.90215,15.71509,0.048133999999999996,SPEC
2MASSJ03172625+4120076,1237661083199144825,49.359348016038105,41.3355162415918,3634,301,5,105,GALAXY,19.69836,17.92685,17.11565,16.75331,16.46285,0.059227999999999996,SPEC
2MASSJ03172055+4141105,1237661055281595362,49.335692438543994,41.6862404590396,3628,301,1,101,GALAXY,18.520889999999998,17.49846,17.0363,16.71527,16.5975,0.133985,SPEC
2MASXJ03172020+4119484,1237661083199144802,49.33419406289761,41.330028965174606,3634,301,5,105,GALAXY,18.669420000000002,17.03558,16.28264,15.933879999999998,15.6481,0.059332,SPEC
2MASSJ03171221+4122521,1237661083199079044,49.3008178783356,41.3811309672435,3634,301,5,104,GALAXY,19.29239,17.52402,16.75637,16.36992,16.10149,0.059397000000000005,SPEC
2MASXJ03170818+4142162,1237661055281594421,49.2842438446844,41.7045780878483,3628,301,1,101,GALAXY,18.96971,17.07516,16.14311,15.78235,15.492529999999999,0.134077,SPEC
2MASXJ03221984+4115189,1237661059574595780,50.5828459174039,41.2553051926024,3629,301,1,71,GALAXY,17.37601,15.902029999999998,15.171120000000002,14.85166,14.593620000000001,0.040445,SPEC
2MASSJ03173188+4109560,1237670458048120047,49.3828063938215,41.1655612122905,5817,301,3,244,GALAXY,19.43983,17.94181,17.10278,16.6797,16.41064,0.136022,SPEC
2MASSJ03165939+4119332,1237661083199079629,49.2475173648452,41.3258860156285,3634,301,5,104,GALAXY,19.31268,17.963620000000002,17.14858,16.73133,16.51886,0.131947,SPEC
