ObjectName,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,Redshift,RedshiftFlag
VZw338,1237661059574399032,50.0216084638056,41.508698439331205,3629,301,1,68,GALAXY,25.59962,23.61147,21.996560000000002,21.19446,20.78216,0.0161,
2MASXJ03200271+4130333,1237661059574399032,50.0216084638056,41.508698439331205,3629,301,1,68,GALAXY,25.59962,23.61147,21.996560000000002,21.19446,20.78216,0.016791,SPEC
NGC1279,1237661059574399003,49.996058730917795,41.4796031233691,3629,301,1,68,GALAXY,16.523229999999998,14.58741,13.61765,13.149020000000002,12.80286,0.0243,
2MASXJ03194386+4127251,1237661059574334072,49.932572183739005,41.4569819802843,3629,301,1,67,GALAXY,18.299,16.1447,15.130679999999998,14.612420000000002,14.2132,0.013132,
2MASXJ03194466+4126472,1237661059574334104,49.93596224479629,41.4464621386771,3629,301,1,67,GALAXY,18.43154,16.4852,15.52645,15.066120000000002,14.662279999999999,0.013219,
GALEXMSCJ031926.90+412716.9,1237670960021374406,49.86251608010279,41.4546161207848,5934,301,2,228,GALAXY,20.49615,18.5185,17.62579,17.205379999999998,16.9389,0.013846,
ABELL0426:[CGW2003]39,1237670960021374080,49.8807909056655,41.441429147044296,5934,301,2,228,GALAXY,20.6252,18.84713,18.01474,17.6232,17.33398,0.021418,
2MASXJ03194292+4136031,1237661059574333649,49.928689656782396,41.6007242293514,3629,301,1,67,GALAXY,18.55726,16.676170000000003,15.767179999999998,15.307920000000001,14.96023,0.011111,
SSTSL2J031946.08+412451.5,1237670960021374404,49.9420009333119,41.414332090556,5934,301,2,228,GALAXY,22.90683,21.92249,20.8303,20.44612,19.71324,0.028208999999999998,
2MASXJ03195290+4136312,1237661059574334013,49.97050602745,41.60878551268161,3629,301,1,67,GALAXY,18.40406,16.48969,15.592770000000002,15.139660000000001,14.809420000000001,0.018483000000000003,SPEC
ABELL0426:[CGW2003]29,1237661122387969371,49.828286333993304,41.4423948747219,3643,301,6,63,GALAXY,25.18652,21.9408,20.90718,20.8688,20.777839999999998,0.017044999999999998,
