ObjectName,RA,DEC
NGC0383,16.85399,32.41256
VV193,16.85167,32.40833
NGC0382,16.84946,32.40386
SDSSJ010723.84+322411.8,16.84935,32.40329
PiscesCloud,16.86186,32.38854
2MASXJ01071798+3225281,16.825,32.42447
NGC0387,16.88775,32.39111
IVZw038,16.86792,32.46194
3C031GROUP,16.8125,32.45417
NGC0386,16.88039,32.36199
RSCG05,16.84884,32.35661
SDSSJ010714.97+322204.7,16.81238,32.36804
2MASXJ01070798+3223335,16.78307,32.39294
SDSSJ010706.70+322257.6,16.77795,32.38268
NGC0380,16.8233,32.48292
UGC00679,16.76491,32.38953
SDSSJ010716.14+322014.7,16.81727,32.33742
2MASXJ01071026+3220485,16.79283,32.34681
NGC0375,16.77466,32.34817
NGC0385,16.86352,32.31953
NGC0379,16.81537,32.52036
SDSSJ010700.04+322915.4,16.74979,32.48789
SDSSJ010703.19+321930.2,16.76331,32.32508
NGC0384,16.8546,32.29245
SRGb090,16.75917,32.32269
SDSSJ010746.28+321840.4,16.94287,32.31124
WHLJ010759.6+322216,16.9985,32.37122
NGC0388,16.94644,32.30996
SDSSJ010759.25+322116.5,16.99691,32.3546
RMJ010802.2+322157.0,17.00896,32.36584
SDSSJ010710.42+323232.8,16.79337,32.54251
NGC0373,16.74254,32.30847
2MASXJ01064452+3225074,16.68554,32.41867
SDSSJ010804.43+322813.1,17.01847,32.47033
WHLJ010657.9+323156,16.74109,32.53215
SDSSJ010646.23+322920.0,16.69264,32.4889
SDSSJ010657.20+323235.8,16.73834,32.5433
2MASXJ01081297+3227128,17.054,32.45361
LCSBS0169O,16.96667,32.25611
SDSSJ010724.07+323545.5,16.85032,32.59598
SDSSJ010711.15+323536.1,16.79646,32.59336
SDSSJ010637.71+323003.7,16.65715,32.50104
SDSSJ010640.30+321831.4,16.66795,32.30875
SDSSJ010643.29+323159.5,16.68039,32.53321
SDSSJ010640.41+323205.2,16.66838,32.5348
WHLJ010640.4+323205,16.66838,32.5348
RMJ010640.4+323205.3,16.66838,32.5348
2MASXJ01081590+3229567,17.06625,32.49908
2MASXJ01065374+3234434,16.72404,32.57864
SDSSJ010803.11+323343.6,17.01406,32.56165
SDSSJ010642.21+323316.1,16.67591,32.55448
GALEXMSCJ010747.67+321315.7,16.94925,32.22061
SDSSJ010806.60+323340.1,17.02717,32.5612
SDSSJ010634.50+323132.4,16.64366,32.52582
2MASXJ01065749+3213214,16.7396,32.22263
SDSSJ010657.10+323613.0,16.73794,32.60364
IVZw038NOTES14,17.10833,32.43125
IVZw038NOTES01,16.624,32.50778
SDSSJ010826.63+322435.5,17.11089,32.41008
SDSSJ010823.85+322840.2,17.09938,32.47785
SDSSJ010635.79+321652.6,16.64914,32.2813
IVZw038NOTES08,16.81546,32.19442
SDSSJ010640.84+323429.9,16.67018,32.575
SDSSJ010622.24+322758.0,16.5927,32.46614
2MASXJ01082662+3229109,17.111,32.48633
IVZw038NOTES03,16.73708,32.6225
SDSSJ010800.55+323707.6,17.00231,32.6188
SDSSJ010732.31+323909.0,16.88466,32.65252
2MASXiJ0108226+323258,17.09437,32.54969
SDSSJ010829.43+321910.6,17.12255,32.31964
SDSSJ010632.20+323424.0,16.63418,32.57334
RMJ010718.6+321003.8,16.82756,32.16771
IVZw038NOTES07,16.798,32.17044
SDSSJ010618.06+322002.6,16.57526,32.33407
2MASSJ01081074+3236146,17.04489,32.60416
SDSSJ010836.08+322543.9,17.15035,32.42886
SDSSJ010836.29+322434.8,17.15122,32.40969
2MASXJ01062076+3231488,16.58654,32.53019
SDSSJ010613.21+322237.3,16.55526,32.37758
SDSSJ010623.97+323302.4,16.59991,32.55067
SDSSJ010715.60+320932.7,16.81504,32.15911
[HLX2013]J010619.74+321751.7,16.58229,32.2977
SDSSJ010727.82+324023.3,16.86596,32.67316
2MASSJ01083751+3220582,17.15634,32.34946
LCSBS0171P,17.07829,32.22656
SDSSJ010637.89+323732.1,16.65837,32.62498
400dJ0106+3209,16.74583,32.15833
2MASXJ01065891+3209285,16.7453,32.15736
SDSSJ010639.19+321139.1,16.6633,32.19421
SDSSJ010840.33+322824.4,17.16807,32.47345
SDSSJ010840.74+322809.3,17.16948,32.46944
[HB89]0104+318,16.74482,32.155
[HB89]0104+318ABS01,16.74482,32.155
SDSSJ010740.22+320745.4,16.9176,32.12928
SDSSJ010622.89+323605.3,16.59541,32.60149
2MASSJ01071777+3207286,16.82398,32.12462
WHLJ010717.8+320729,16.82398,32.12462
2MASXJ01074620+3241342,16.94234,32.69301
SDSSJ010654.63+324116.7,16.72766,32.68797
2MASXJ01084242+3232110,17.17692,32.53642
SDSSJ010601.03+322105.4,16.50432,32.35151
SDSSJ010558.88+322505.1,16.49534,32.4181
SDSSJ010813.86+323948.8,17.05775,32.66357
SDSSJ010808.34+320854.4,17.03475,32.14846
SDSSJ010656.97+320705.6,16.7374,32.11824
SDSSJ010656.81+320703.6,16.73672,32.11767
2MASXJ01065143+3242044,16.7143,32.70132
2MASSJ01064194+3241075,16.67427,32.68548
IC1618,16.48326,32.41218
SDSSJ010817.61+320929.8,17.0734,32.1583
SDSSJ010842.93+323403.0,17.17888,32.56753
SDSSJ010558.61+321907.1,16.49424,32.31866
UGC00691,16.88583,32.09278
SDSSJ010630.37+324017.5,16.62656,32.67153
SDSSJ010847.25+323332.1,17.1969,32.55893
SDSSJ010849.43+323236.7,17.20599,32.54354
SDSSJ010847.44+323351.3,17.19769,32.56426
WHLJ010847.4+323351,17.19769,32.56426
RMJ010847.4+323351.3,17.19769,32.56426
NGC0398,17.22362,32.51451
SDSSJ010850.86+323236.6,17.21194,32.54352
2MASXJ01085516+3219316,17.22996,32.32542
SDSSJ010735.75+320502.5,16.89896,32.08405
2MASXJ01055048+3223187,16.46028,32.3885
WHLJ010718.5+320433,16.82728,32.07581
SDSSJ010718.54+320432.9,16.82728,32.07581
SDSSJ010551.87+321950.9,16.46612,32.33083
GALEXASCJ010603.49+323532.5,16.515,32.59222
SDSSJ010551.20+321953.2,16.46334,32.33147
SDSSJ010602.85+323535.6,16.51189,32.59324
SDSSJ010549.87+322843.4,16.45781,32.47872
SDSSJ010731.75+324513.1,16.88275,32.75396
SDSSJ010559.63+323446.4,16.49846,32.57958
