ObjectName,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
UGC00679,1.23768E+18,16.76500496,32.38955467,8111,301,5,174,GALAXY,17.47009,16.29194,15.80517,15.55366,15.38916
2MASXJ01071026+3220485,1.23768E+18,16.79282632,32.34687231,8112,301,4,35,GALAXY,18.8348,17.02965,16.28358,15.90385,15.59645
2MASXJ01064452+3225074,1.23768E+18,16.68546596,32.41858606,8111,301,5,174,GALAXY,18.69388,17.03171,16.25852,15.88058,15.60824
LCSBS0169O,1.23768E+18,16.96669145,32.25610789,8112,301,4,36,GALAXY,18.17839,16.57261,15.77085,15.3893,15.11633
2MASXJ01081590+3229567,1.23768E+18,17.06614948,32.49901103,8111,301,5,176,GALAXY,18.65191,16.9128,16.1212,15.70821,15.44201
2MASXJ01065374+3234434,1.23768E+18,16.72412126,32.57860913,8111,301,5,174,GALAXY,18.18247,16.52789,15.77591,15.40813,15.12873
IVZw038NOTES14,1.23768E+18,17.108348,32.43123716,8111,301,5,176,GALAXY,18.77098,17.03728,16.26269,15.86688,15.64154
IVZw038NOTES03,1.23768E+18,16.73780713,32.62244051,8112,301,5,35,GALAXY,18.65815,16.58489,15.63116,15.16605,14.80291
2MASXiJ0108226+323258,1.23768E+18,17.09422129,32.54968509,8111,301,5,176,GALAXY,18.31455,16.71249,15.94357,15.58528,15.34251
IVZw038NOTES07,1.23768E+18,16.79803129,32.17039315,8112,301,4,35,GALAXY,18.90664,17.13418,16.34016,15.94039,15.7109
LCSBS0171P,1.23768E+18,17.07833881,32.22679537,8112,301,4,37,GALAXY,18.62858,16.78881,15.98687,15.64716,15.38159
2MASXJ01085516+3219316,1.23768E+18,17.23008858,32.32529049,8112,301,4,38,GALAXY,18.22066,16.78588,16.07589,15.73431,15.45573
2MASXJ01085889+3214257,1.23768E+18,17.24573217,32.2404447,8112,301,4,38,GALAXY,17.68089,16.1789,15.70013,15.33036,15.4295
IVZw038NOTES15,1.23768E+18,17.32227861,32.61130676,8112,301,5,38,GALAXY,19.587,17.45313,16.42761,16.01889,15.68271
