ObjectName,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
NGC0386,1.23768E+18,16.88041661,32.36192389,8112,301,4,36,GALAXY,16.69728,14.83926,13.98128,13.56835,13.23956
RSCG05,1.23768E+18,16.8505443,32.35360176,8112,301,4,35,STAR,24.22669,21.70089,20.16072,18.82117,18.20363
SDSSJ010714.97+322204.7,1.23768E+18,16.81240686,32.36799485,8112,301,4,35,GALAXY,21.93304,22.84562,21.40273,20.35505,19.98604
2MASXJ01070798+3223335,1.23768E+18,16.7831236,32.39258024,8111,301,5,174,GALAXY,20.47155,18.57672,17.3685,16.87801,16.5106
SDSSJ010706.70+322257.6,1.23768E+18,16.77794368,32.38268124,8111,301,5,174,GALAXY,24.02628,20.65837,18.8152,18.1462,17.79267
UGC00679,1.23768E+18,16.76500496,32.38955467,8111,301,5,174,GALAXY,17.47009,16.29194,15.80517,15.55366,15.38916
SDSSJ010716.14+322014.7,1.23768E+18,16.81726468,32.33742287,8112,301,4,35,STAR,21.33722,20.45735,20.39435,20.42198,20.53613
2MASXJ01071026+3220485,1.23768E+18,16.79282632,32.34687231,8112,301,4,35,GALAXY,18.8348,17.02965,16.28358,15.90385,15.59645
NGC0375,1.23768E+18,16.77466772,32.34811046,8112,301,4,35,GALAXY,17.07886,15.19937,14.37876,13.94734,13.62536
NGC0385,1.23768E+18,16.86344391,32.31986374,8112,301,4,36,GALAXY,15.60695,13.66336,12.78427,12.35243,12.09196
SDSSJ010700.04+322915.4,1.23768E+18,16.75016923,32.48761623,8111,301,5,174,GALAXY,26.08244,21.93356,20.38618,19.28908,18.73927
SDSSJ010703.19+321930.2,1.23768E+18,16.76330451,32.32508286,8112,301,4,35,GALAXY,25.60186,21.37963,19.53588,18.7933,18.56854
NGC0384,1.23768E+18,16.85423909,32.29275285,8112,301,4,36,GALAXY,15.905,13.93652,13.00794,12.5624,12.23861
SRGb090,1.23768E+18,16.76334257,32.32214062,8112,301,4,35,STAR,22.95279,22.47898,21.04328,19.53586,18.74527
SDSSJ010746.28+321840.4,1.23768E+18,16.94287863,32.31123802,8112,301,4,36,GALAXY,22.37127,22.99296,20.02011,18.46767,17.66176
WHLJ010759.6+322216,1.23768E+18,16.99850611,32.37122096,8111,301,5,176,GALAXY,23.93776,21.6665,20.07613,19.31853,18.81176
NGC0388,1.23768E+18,16.94647045,32.30992843,8112,301,4,36,GALAXY,17.09274,15.16154,14.31109,13.90314,13.56282
SDSSJ010759.25+322116.5,1.23768E+18,16.99691532,32.35460077,8111,301,5,176,GALAXY,22.88472,21.89325,20.29242,19.42394,19.10477
RMJ010802.2+322157.0,1.23768E+18,17.00896367,32.36584223,8111,301,5,176,GALAXY,22.46109,21.50026,19.89314,19.27589,18.94643
SDSSJ010710.42+323232.8,1.23768E+18,16.7934191,32.54244741,8111,301,5,174,GALAXY,25.80777,22.77612,20.64114,19.66087,19.02246
NGC0373,1.23768E+18,16.74254191,32.30844692,8112,301,4,35,GALAXY,17.44902,15.44777,14.57533,14.14988,13.80237
2MASXJ01064452+3225074,1.23768E+18,16.68546596,32.41858606,8111,301,5,174,GALAXY,18.69388,17.03171,16.25852,15.88058,15.60824
SDSSJ010804.43+322813.1,1.23768E+18,17.01847987,32.47032693,8111,301,5,176,GALAXY,22.65749,22.44617,20.85743,19.77476,19.28205
WHLJ010657.9+323156,1.23768E+18,16.74108589,32.5321474,8111,301,5,174,GALAXY,21.78823,21.43581,19.84217,19.09024,18.48757
SDSSJ010646.23+322920.0,1.23768E+18,16.69264476,32.48889939,8111,301,5,174,GALAXY,23.43549,21.98737,20.38735,19.55721,19.19608
SDSSJ010657.20+323235.8,1.23768E+18,16.73833801,32.54330057,8111,301,5,174,GALAXY,22.87118,21.75932,20.05877,19.1574,18.63545
2MASXJ01081297+3227128,1.23768E+18,17.05396851,32.45361927,8111,301,5,176,GALAXY,17.35655,15.48143,14.64266,14.20314,13.90635
LCSBS0169O,1.23768E+18,16.96669145,32.25610789,8112,301,4,36,GALAXY,18.17839,16.57261,15.77085,15.3893,15.11633
