ObjectName,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
2MASXJ03194466+4126472,1.23766E+18,49.93596226,41.44646214,3629,301,1,67,GALAXY,18.43903,16.48768,15.5348,15.06798,14.67453
2MASXJ03194292+4136031,1.23766E+18,49.92868966,41.60072423,3629,301,1,67,GALAXY,18.5537,16.68099,15.77401,15.31501,14.97083
2MASXJ03195290+4136312,1.23766E+18,49.97050603,41.60878551,3629,301,1,67,GALAXY,18.40543,16.49898,15.59959,15.14701,14.82453
2MASXJ03193765+4122490,1.23766E+18,49.90669923,41.38004735,3643,301,6,64,GALAXY,18.72683,16.68938,15.79804,15.32568,14.96409
2MASXJ03190207+4137121,1.23766E+18,49.75883154,41.61992816,3629,301,1,66,GALAXY,18.517,16.5662,15.59839,15.13144,14.77092
2MASXJ03184479+4130411,1.23766E+18,49.6867314,41.51144413,3628,301,1,103,GALAXY,19.07915,17.03852,16.06735,15.56601,15.27343
LCSBS0532P,1.23766E+18,49.74148336,41.63506455,3629,301,1,66,GALAXY,18.55423,16.51575,15.53891,15.06483,14.70736
2MASXJ03185112+4123321,1.23766E+18,49.71287938,41.39235375,3628,301,1,103,GALAXY,18.53284,16.71253,15.7914,15.33451,15.00045
2MASXJ03201328+4117122,1.23766E+18,50.05527904,41.28687433,3628,301,1,105,GALAXY,18.09434,16.40576,15.66404,15.30269,15.05324
2MASXJ03210142+4126039,1.23766E+18,50.25581019,41.43446267,3629,301,1,69,GALAXY,19.03396,17.06026,16.11798,15.64559,15.26888
2MFGC02743,1.23766E+18,50.13768244,41.73225685,3628,301,2,104,GALAXY,18.30739,16.4603,15.77337,15.40065,15.18138
2MASXJ03203393+4113185,1.23766E+18,50.14148082,41.22184671,3628,301,1,106,GALAXY,19.19814,17.40139,16.49442,16.06064,15.71056
2MASXJ03213127+4132509,1.23766E+18,50.38027623,41.54745363,3628,301,2,106,GALAXY,18.98971,17.17622,16.2903,15.85121,15.52496
2MASXiJ0318058+413452,1.23766E+18,49.52440202,41.5813583,3628,301,1,102,GALAXY,19.31466,17.29829,16.32676,15.87352,15.53562
2MASXJ03185439+4148111,1.23766E+18,49.72688586,41.80303854,3628,301,2,102,GALAXY,18.61421,16.49132,15.50165,15.00246,14.64359
2MASXJ03195520+4110212,1.23766E+18,49.97989782,41.17263246,3628,301,1,105,GALAXY,19.17145,17.35296,16.49719,16.09297,15.7895
2MASXJ03180070+4117567,1.23766E+18,49.50281729,41.2990948,3634,301,5,105,GALAXY,18.74708,16.93138,16.05032,15.6279,15.28387
2MASXJ03180647+4147567,1.23766E+18,49.52697873,41.79917617,3629,301,1,64,GALAXY,18.89546,16.87395,15.88972,15.41224,15.02627
2MASSJ03215637+4117540,1.23766E+18,50.4849246,41.29836428,3629,301,1,70,GALAXY,19.17614,17.22423,16.34046,15.94974,15.6305
2MASSJ03212427+4108088,1.23766E+18,50.35138905,41.13586697,3628,301,1,107,GALAXY,18.81572,17.17469,16.30981,15.91217,15.61805
LCSBS0541P,1.23766E+18,50.33915477,41.02462582,3628,301,1,107,GALAXY,18.27828,16.5155,15.66634,15.2474,14.96909
2MASXJ03202564+4204137,1.23766E+18,50.10689046,42.07035386,3629,301,2,66,GALAXY,18.96878,17.09454,16.17444,15.74806,15.38819
2MASXJ03214287+4202509,1.23766E+18,50.42854513,42.04754955,3628,301,3,104,GALAXY,19.25037,17.39097,16.4731,15.99822,15.6823
2MASXJ03224672+4156285,1.23766E+18,50.69459342,41.94123038,3628,301,3,105,GALAXY,19.12566,16.90836,16.10706,15.6655,15.3697
2MASXJ03175285+4053504,1.23767E+18,49.47027548,40.89724439,5934,301,2,224,GALAXY,18.95888,17.0251,16.15599,15.72118,15.36266
2MASXJ03225058+4101397,1.23766E+18,50.71084571,41.02783991,3629,301,1,72,GALAXY,19.09572,17.20678,16.33656,15.87469,15.56943
2MASXJ03155331+4119242,1.23766E+18,48.97213353,41.32330654,3643,301,5,60,GALAXY,18.84769,17.01785,16.07555,15.62187,15.28118
2MASXJ03235754+4131183,1.23766E+18,50.98990692,41.52184257,3629,301,2,71,GALAXY,18.15982,16.50102,15.52413,15.18529,15.18681
2MASXJ03235662+4138173,1.23766E+18,50.98572058,41.63832231,3629,301,2,71,GALAXY,18.84757,16.81754,15.84793,15.36376,15.02847
