ObjectName,RA,DEC,Redshift,RedshiftFlag
NGC1275,49.95067,41.51170,0.017559,
2MASXiJ0319419+412957,49.92479,41.49950,0.016814,SPEC
2MASXJ03195122+4132072,49.96350,41.53536,0.019417,
2MASXiJ0319555+413123,49.98137,41.52311,0.018300,
ABELL0426:[CGW2003]45,49.92375,41.48806,0.010407,
SA0426-030,49.93125,41.48136,0.009627,
2MASXJ03195247+4132592,49.96867,41.54981,0.020700,
2MASXJ03193731+4129090,49.90537,41.48594,0.022219,
NGC1274,49.91896,41.54864,0.021391,
VZw338,50.01137,41.50957,0.016100,
2MASXJ03200271+4130333,50.01138,41.50931,0.016791,SPEC
ABELL0426:[PC2008]54,49.95250,41.55794,0.011218,
NGC1279,49.99612,41.47953,0.024300,
NGC1278,49.97563,41.56339,0.020314,
2MASXJ03194386+4127251,49.93267,41.45697,0.013132,
VZw339,50.00362,41.55375,0.017300,
RSCG21,49.90266,41.56081,0.017000,
2MASSJ03193364+4133128,49.89020,41.55355,0.017121,SPEC
NGC1277,49.96454,41.57353,0.016898,
2MASXJ03194466+4126472,49.93604,41.44644,0.013219,
NGC1273,49.86142,41.54053,0.017969,
2MASSJ03192305+4129282,49.84609,41.49117,0.012347,SPEC
CGCG540-101,49.89263,41.58056,0.015010,
2MASXJ03194782+4135472,49.94917,41.59634,0.024851,
NGC1272,49.83871,41.49064,0.012725,
GALEXMSCJ031926.90+412716.9,49.86292,41.45447,0.013846,
ABELL0426:[CGW2003]39,49.88083,41.44131,0.021418,
ABELL0426:[CGW2003]31,49.83833,41.47847,0.028893,
2MASXJ03194292+4136031,49.92875,41.60078,0.011111,
SSTSL2J031946.08+412451.5,49.94208,41.41422,0.028209,
2MASXJ03195290+4136312,49.97050,41.60869,0.018483,SPEC
ABELL0426:[CGW2003]21,49.80292,41.51047,0.029157,
WBL097,49.80207,41.51451,0.017330,
ABELL0426:[CGW2003]29,49.82833,41.44233,0.017045,
2MASXJ03192236+4125461,49.84325,41.42942,0.017712,
ABELL0426:[CGW2003]20,49.79333,41.49361,0.024434,
BGP073,50.11244,41.48303,0.018022,
2MASXJ03193743+4137580,49.90608,41.63283,0.028600,
2MASXJ03202856+4129195,50.11917,41.48881,0.018339,
2MASXJ03202936+4130525,50.12233,41.51458,0.022085,
NGC1281,50.02546,41.63003,0.014343,
2MASXJ03203087+4130325,50.12871,41.50900,0.014957,
2MASXJ03193765+4122490,49.90679,41.38019,0.018363,SPEC
UGC02665,49.86404,41.63531,0.026038,
NGC1283,50.06467,41.39867,0.022439,
NSA133302,49.76987,41.46925,0.013433,
2MASXJ03190242+4133011,49.76008,41.55028,0.014100,
ABELL0426:[CGW2003]16,49.77500,41.43853,0.021938,
ABELL0426:[CGW2003]10,49.75167,41.48400,0.019497,
2MASXJ03203300+4134265,50.13746,41.57408,0.010551,SPEC
NGC1270,49.74229,41.47001,0.016561,
NGC1282,50.05050,41.36700,0.007135,
2MASXJ03191772+4138391,49.82392,41.64428,0.020718,
MCG+07-07-070,50.09175,41.64072,0.012505,
[TSK2008]0344,50.05942,41.36307,0.007338,
2MASXJ03202094+4122254,50.08733,41.37372,0.023416,
2MASXJ03201009+4121043,50.04217,41.35117,0.006901,
2MASXJ03190207+4137121,49.75879,41.61997,0.018510,SPEC
2MASXJ03194021+4119450,49.91754,41.32919,0.020581,
2MASXJ03201737+4120562,50.07246,41.34892,0.017462,
NGC1271,49.79700,41.35325,0.019183,
2MASXJ03184479+4130411,49.68667,41.51142,0.023940,SPEC
NGC1268,49.68817,41.48869,0.010884,
LCSBS0532P,49.74154,41.63506,0.013638,SPEC
2MASXJ03204218+4124145,50.17575,41.40400,0.012238,
NGC1267,49.68717,41.46772,0.016875,
2MASXJ03184738+4125421,49.69746,41.42839,0.019967,
2MASXJ03195296+4118082,49.97071,41.30233,0.012100,
2MASXJ03205074+4136015,50.21133,41.60042,0.017700,
2MASXJ03185112+4123321,49.71296,41.39228,0.020630,SPEC
2MASXJ03205776+4130229,50.24082,41.50638,0.016561,
2MASXJ03205658+4126205,50.23575,41.43892,0.020104,SPEC
CGCG540-089,49.64983,41.47722,0.011148,
2MASXJ03210041+4133449,50.25174,41.56247,0.016081,
2MASXJ03194454+4116411,49.93563,41.27808,0.018006,
2MASXJ03204928+4122145,50.20542,41.37069,0.016511,
2MASXJ03201328+4117122,50.05533,41.28681,0.023606,
