No.	|	Object Name	|	RA	|	DEC	|	Type	|	Velocity	|	Redshift	|	Redshift Flag	|	Magnitude and Filter	|	Separation	|	References	|	Notes	|	Photometry Points	|	Positions	|	Redshift Points	|	Diameter Points	|	Associations
1	|	SSTSL2 J031958.53+413101.3	|	 49.99375 	|	  41.51722 	|	G	|	 64495	|	 0.215132 	|	    	|	21.8B	|	  1.964	|	2	|	0	|	12	|	1	|	1	|	0	|	0
2	|	SSTSL2 J031956.07+412909.5	|	 49.98375 	|	  41.48594 	|	G	|	 69132	|	 0.230599 	|	    	|	20.7B	|	  2.144	|	2	|	0	|	12	|	1	|	1	|	0	|	0
3	|	ABELL 0426:[CGW2003] 52	|	 49.98375 	|	  41.54408 	|	G	|	 40994	|	 0.136741 	|	    	|	21.3B	|	  2.446	|	2	|	0	|	2	|	0	|	1	|	0	|	0
4	|	SSTSL2 J031936.08+413246.3	|	 49.90042 	|	  41.54650 	|	G	|	 51225	|	 0.170868 	|	    	|	21.8B	|	  3.075	|	2	|	0	|	12	|	1	|	1	|	0	|	0
5	|	GALEXMSC J031926.77+413303.4  	|	 49.86208 	|	  41.55142 	|	G	|	 70960	|	 0.236697 	|	    	|	20.7B	|	  4.638	|	3	|	0	|	16	|	2	|	1	|	0	|	0
6	|	ABELL 0426:[CGW2003] 27	|	 49.82333 	|	  41.49936 	|	G	|	125580	|	 0.418889 	|	    	|	21.4B	|	  5.769	|	2	|	0	|	2	|	0	|	1	|	0	|	0
7	|	ABELL 0426:[CGW2003] 25	|	 49.81625 	|	  41.50564 	|	G	|	 70320	|	 0.234562 	|	    	|	21.8B	|	  6.050	|	2	|	0	|	2	|	0	|	1	|	0	|	0
8	|	ABELL 0426:[CGW2003] 24	|	 49.81292 	|	  41.48239 	|	G	|	 64780	|	 0.216082 	|	    	|	21.4B	|	  6.435	|	2	|	0	|	2	|	0	|	1	|	0	|	0
9	|	2MASX J03194485+4123551	|	 49.93683 	|	  41.39864 	|	G	|	 40543	|	 0.135237 	|	SPEC	|	     	|	  6.812	|	1	|	0	|	15	|	2	|	1	|	2	|	0
10	|	GALEXASC J031946.16+413735.7  	|	 49.94333 	|	  41.62611 	|	G	|	391829	|	 1.307000 	|	    	|	21.0R	|	  6.873	|	3	|	0	|	15	|	3	|	0	|	0	|	0
11	|	ABELL 0426:[CGW2003] 19	|	 49.78958 	|	  41.52525 	|	G	|	 67527	|	 0.225245 	|	    	|	20.5B	|	  7.282	|	3	|	0	|	2	|	0	|	1	|	0	|	0
12	|	ABELL 0426:[CGW2003] 18	|	 49.78792 	|	  41.54492 	|	G	|	 46906	|	 0.156461 	|	    	|	21.5B	|	  7.577	|	2	|	0	|	2	|	0	|	1	|	0	|	0
13	|	2MASS J03190509+4128126	|	 49.77076 	|	  41.46979 	|	UvS	|	 15545	|	 0.051851 	|	SPEC	|	     	|	  8.468	|	0	|	0	|	14	|	4	|	1	|	0	|	0
14	|	2MASX J03200094+4120273	|	 50.00400 	|	  41.34097 	|	G	|	 40820	|	 0.136160 	|	SPEC	|	     	|	 10.521	|	1	|	0	|	16	|	3	|	1	|	2	|	0
15	|	2MASS J03204657+4130435	|	 50.19427 	|	  41.51209 	|	UvS	|	 24060	|	 0.080256 	|	SPEC	|	     	|	 10.945	|	1	|	0	|	14	|	4	|	1	|	0	|	0
17	|	ABELL 0426:[CGW2003] 05	|	 49.73250 	|	  41.39481 	|	G	|	 80585	|	 0.268802 	|	    	|	21.4B	|	 12.060	|	2	|	0	|	2	|	0	|	1	|	0	|	0
18	|	SDSS J032026.40+412052.5	|	 50.11015 	|	  41.34791 	|	IrS	|	294001	|	 0.980682 	|	SPEC	|	     	|	 12.168	|	1	|	0	|	4	|	2	|	1	|	0	|	0
19	|	2MASX J03193195+4118151	|	 49.88317 	|	  41.30422 	|	G	|	 34764	|	 0.115960 	|	SPEC	|	18.6 	|	 12.814	|	2	|	0	|	15	|	2	|	1	|	2	|	0
20	|	SDSS J031936.68+414447.2	|	 49.90287 	|	  41.74646 	|	G	|	214800	|	 0.716494 	|	SPEC	|	     	|	 14.248	|	0	|	0	|	0	|	1	|	1	|	0	|	0
21	|	2MASS J03204249+4141408	|	 50.17760 	|	  41.69471 	|	G	|	 25704	|	 0.085739 	|	SPEC	|	     	|	 14.975	|	0	|	0	|	9	|	3	|	1	|	0	|	0
23	|	WHL J032042.2+414342	|	 50.17582 	|	  41.72840 	|	GClstr	|	176458	|	 0.588600 	|	PHOT	|	     	|	 16.464	|	1	|	0	|	0	|	1	|	1	|	0	|	0
24	|	2MASX J03201053+4114443	|	 50.04383 	|	  41.24558 	|	G	|	 25332	|	 0.084499 	|	SPEC	|	     	|	 16.509	|	1	|	0	|	23	|	4	|	1	|	2	|	0
25	|	SDSS J031827.08+414304.7	|	 49.61283 	|	  41.71810 	|	IrS	|	376694	|	 1.256515 	|	SPEC	|	     	|	 19.571	|	1	|	0	|	3	|	2	|	1	|	0	|	0
26	|	WHL J031807.9+412455	|	 49.53304 	|	  41.41525 	|	GClstr	|	 63706	|	 0.212500 	|	PHOT	|	     	|	 19.649	|	1	|	0	|	0	|	1	|	1	|	0	|	0
27	|	2MASS J03183962+4146189	|	 49.66500 	|	  41.77225 	|	XrayS	|	 40497	|	 0.135083 	|	SPEC	|	     	|	 20.211	|	1	|	0	|	6	|	2	|	1	|	0	|	0
28	|	2MASX J03180371+4119227	|	 49.51542 	|	  41.32306 	|	G	|	 19852	|	 0.066219 	|	SPEC	|	     	|	 22.619	|	1	|	0	|	15	|	2	|	1	|	2	|	0
29	|	WHL J032033.8+410935	|	 50.14085 	|	  41.15984 	|	GClstr	|	151815	|	 0.506400 	|	PHOT	|	     	|	 22.784	|	1	|	0	|	0	|	1	|	1	|	0	|	0
30	|	2MASX J03191184+4107570	|	 49.79937 	|	  41.13253 	|	G	|	 14430	|	 0.048134 	|	SPEC	|	     	|	 23.750	|	1	|	0	|	19	|	3	|	1	|	2	|	1
31	|	2MASS J03213073+4146058	|	 50.37797 	|	  41.76864 	|	UvS	|	 14812	|	 0.049406 	|	SPEC	|	     	|	 24.592	|	1	|	0	|	20	|	5	|	1	|	0	|	0
32	|	WHL J032134.6+414751	|	 50.39398 	|	  41.79749 	|	GClstr	|	 56181	|	 0.187400 	|	PHOT	|	     	|	 26.249	|	1	|	0	|	0	|	1	|	1	|	0	|	0
34	|	2MASS J03172625+4120076	|	 49.35937 	|	  41.33552 	|	G	|	 17756	|	 0.059228 	|	SPEC	|	     	|	 28.626	|	0	|	0	|	6	|	2	|	1	|	0	|	0
35	|	2MASS J03172055+4141105	|	 49.33511 	|	  41.68630 	|	UvS	|	 40168	|	 0.133985 	|	SPEC	|	     	|	 29.539	|	1	|	0	|	14	|	4	|	1	|	0	|	0
36	|	2MASX J03172020+4119484	|	 49.33421 	|	  41.33008 	|	G	|	 17787	|	 0.059332 	|	SPEC	|	     	|	 29.800	|	1	|	0	|	23	|	4	|	1	|	2	|	1
37	|	2MASS J03171221+4122521	|	 49.30091 	|	  41.38108 	|	UvS	|	 17807	|	 0.059397 	|	SPEC	|	     	|	 30.255	|	1	|	0	|	10	|	3	|	1	|	0	|	0
39	|	2MASX J03170818+4142162	|	 49.28413 	|	  41.70456 	|	G	|	 40195	|	 0.134077 	|	SPEC	|	     	|	 32.063	|	1	|	0	|	15	|	3	|	2	|	2	|	0
