ObjectName,objID,ra,dec,run,rerun,camcol,field,type,u0,g0,r0,i0,z0,Redshift,RedshiftFlag
2MASXJ01070798+3223335,1237680311772250504,16.78312362938,32.3925802478227,8111,301,5,174,GALAXY,20.13362,18.3241,17.19614,16.741970000000002,16.40898,0.15393099999999998,SPEC
2MASXJ01065749+3213214,1237680315521237275,16.7395035682317,32.2228239053675,8112,301,4,35,GALAXY,18.94812,17.26759,16.3999,15.94577,15.60334,0.114617,SPEC
IVZw038NOTES01,1237680311772250292,16.6240388015854,32.5077596494137,8111,301,5,174,GALAXY,20.15441,18.22609,17.11155,16.658070000000002,16.33635,0.153832,SPEC
2MASXJ01082662+3229109,1237680311772381566,17.1109510775623,32.4863812553874,8111,301,5,176,GALAXY,19.56098,17.58059,16.57519,16.142229999999998,15.82258,0.111395,SPEC
IVZw038NOTES03,1237680316058107970,16.7378072067872,32.6224405327629,8112,301,5,35,GALAXY,18.35271,16.361829999999998,15.47458,15.03607,14.70395,0.06604199999999999,
2MASXJ01062076+3231488,1237680311772184955,16.5866131200679,32.5301886111133,8111,301,5,173,GALAXY,19.75737,17.682170000000006,16.632479999999994,16.17292,15.83262,0.109302,SPEC
2MASSJ01055091+3212577,1237680315521106273,16.4621338888862,32.2160580007468,8112,301,4,33,GALAXY,20.30544,18.4116,17.23394,16.76756,16.45024,0.162905,SPEC
2MASXJ01053291+3217505,1237680315521105995,16.3871276502126,32.2972563641683,8112,301,4,33,GALAXY,19.59011,17.48602,16.57599,16.11186,15.77001,0.104334,SPEC
2MASXJ01091313+3235528,1237680316058304891,17.3048745062164,32.5980327178583,8112,301,5,38,GALAXY,19.68984,17.847379999999994,16.64205,16.16147,15.85756,0.176766,SPEC
IVZw038NOTES15,1237680316058304809,17.3222786912551,32.6113067842491,8112,301,5,38,GALAXY,19.26926,17.22984,16.27065,15.88857,15.585679999999998,0.066308,SPEC
2MASXJ01052218+3218305,1237680315521106123,16.3423407880436,32.3084337171634,8112,301,4,33,GALAXY,20.37417,18.29002,17.15898,16.70712,16.38983,0.166468,SPEC
2MASXJ01053624+3209306,1237680311235313933,16.4009556529096,32.1585285167128,8111,301,4,173,GALAXY,19.78661,18.02478,16.96734,16.521829999999998,16.21191,0.163268,SPEC
2MASXJ01065539+3157514,1237680311235444900,16.7307326737749,31.9642605473489,8111,301,4,175,GALAXY,19.71987,17.74129,16.72854,16.27526,15.92758,0.111241,SPEC
2MASXJ01084135+3200420,1237680311235576210,17.1723416975363,32.01160784204961,8111,301,4,177,GALAXY,21.08009,18.70587,17.293770000000002,16.76969,16.39216,0.222258,SPEC
2MASXJ01060204+3248197,1237680316057977071,16.5086801131181,32.805398252543895,8112,301,5,33,GALAXY,19.2728,17.4349,16.49634,16.0594,15.74811,0.111229,SPEC
2MASSJ01084377+3200251,1237680311235576219,17.1824419660807,32.006908370507695,8111,301,4,177,GALAXY,21.27339,18.88554,17.47119,16.97363,16.59132,1.155484,SPEC
WHLJ010942.8+321639,1237680315521499274,17.4283861923859,32.2774815199814,8112,301,4,39,GALAXY,18.96048,17.16006,16.12732,15.66786,15.28685,0.1147,SPEC
2MASXJ01073995+3254512,1237680312309186786,16.9164893724664,32.9141987398493,8111,301,6,175,GALAXY,20.1282,17.958879999999994,16.90706,16.416120000000006,16.0347,0.12173599999999997,SPEC
2MASXJ01094004+3213539,1237680315521499270,17.4169914585655,32.2316976112168,8112,301,4,39,GALAXY,19.06448,17.19513,16.18722,15.76663,15.4261,0.11495,SPEC
CGCG501-105,1237680316058304582,17.3351327779267,32.7228557772865,8112,301,5,38,GALAXY,17.37564,24.9848,15.96632,15.25774,14.65748,0.034811,
2MASXJ01055200+3200037,1237680311235314044,16.4664010395334,32.0008852892513,8111,301,4,173,GALAXY,20.66895,18.41213,17.04194,16.50194,16.1505,0.223218,SPEC
WHLJ010535.2+324750,1237680316057976960,16.3965321005214,32.797349726342304,8112,301,5,33,GALAXY,18.66887,17.00931,16.05278,15.643020000000002,15.274,0.1097,SPEC
2MASXJ01083144+3254369,1237680312309252305,17.130935988051696,32.910442680161,8111,301,6,176,GALAXY,20.86419,18.41606,17.142310000000002,16.65425,16.30303,0.183686,SPEC
2MASXJ01050271+3238584,1237680316057911397,16.261198546387998,32.6496824263056,8112,301,5,32,GALAXY,19.07664,17.11346,16.15551,15.747370000000002,15.40976,0.126864,SPEC
2MASXJ01054052+3159227,1237680311235313999,16.4187076959989,31.989644581102095,8111,301,4,173,GALAXY,20.79584,18.75715,17.38599,16.863879999999998,16.537670000000002,0.221099,SPEC
2MASSJ01055247+3252291,1237680312308990429,16.4686006612876,32.874819369418695,8111,301,6,172,GALAXY,20.27461,18.43727,17.26122,16.80702,16.48295,0.178489,SPEC
2MASXJ01074714+3150562,1237680314984431936,16.9464996619807,31.8490141624752,8112,301,3,36,GALAXY,19.21674,17.08234,16.01339,15.566670000000002,15.18151,0.123237,SPEC
2MASXJ01055888+3254137,1237680312309055737,16.4952732916433,32.9037378532337,8111,301,6,173,GALAXY,19.81748,17.84657,16.82874,16.403010000000002,16.05012,0.111333,SPEC
2MASXJ01043716+3229377,1237680311772053606,16.1548123873134,32.4937640874605,8111,301,5,171,GALAXY,19.49357,17.50289,16.52056,16.082729999999998,15.759620000000002,0.109748,SPEC
2MASXJ01065910+3301194,1237680316594913593,16.746375358958,33.02217022599,8112,301,6,34,GALAXY,18.90578,17.3112,16.49803,16.0244,15.685579999999998,0.08117,SPEC
2MASXJ01053203+3253175,1237680312308990349,16.3835450977435,32.8883650833774,8111,301,6,172,GALAXY,19.30128,17.47345,16.50274,16.0873,15.75542,0.106295,SPEC
2MASXJ01085584+3152136,1237680314984562979,17.2327400522903,31.8703490189259,8112,301,3,38,GALAXY,17.95544,16.19763,15.36934,14.980379999999998,14.64768,0.06696,
2MASSJ01090970+3152024,1237680314984563127,17.2905338745222,31.867212661694197,8112,301,3,38,GALAXY,20.34799,18.97418,17.36041,16.75724,16.3917,0.286163,SPEC
