ObjectName,objID,ra,dec,run,rerun,camcol,field,type,u0,g0,r0,i0,z0,Redshift,RedshiftFlag
VZw338,1237661059574399032,50.0216084638056,41.508698439331205,3629,301,1,68,GALAXY,24.7602,22.99384,21.54859,20.854779999999998,20.54133,0.0161,
2MASXJ03200271+4130333,1237661059574399032,50.0216084638056,41.508698439331205,3629,301,1,68,GALAXY,24.7602,22.99384,21.54859,20.854779999999998,20.54133,0.016791,SPEC
NGC1279,1237661059574399003,49.996058730917795,41.4796031233691,3629,301,1,68,GALAXY,15.688239999999999,13.97304,13.17206,12.81113,12.56329,0.0243,
2MASXJ03194386+4127251,1237661059574334072,49.932572183739005,41.4569819802843,3629,301,1,67,GALAXY,17.467589999999998,15.53297,14.687000000000001,14.27599,13.97466,0.013132,
2MASXJ03194466+4126472,1237661059574334104,49.93596224479629,41.4464621386771,3629,301,1,67,GALAXY,17.60276,15.87539,15.08417,14.73075,14.4245,0.013219,
GALEXMSCJ031926.90+412716.9,1237670960021374406,49.86251608010279,41.4546161207848,5934,301,2,228,GALAXY,19.66587,17.90759,17.18271,16.8694,16.700689999999998,0.013846,
ABELL0426:[CGW2003]39,1237670960021374080,49.8807909056655,41.441429147044296,5934,301,2,228,GALAXY,19.79618,18.23714,17.572329999999997,17.28773,17.09613,0.021418,
2MASXJ03194292+4136031,1237661059574333649,49.928689656782396,41.6007242293514,3629,301,1,67,GALAXY,17.69865,16.04441,15.308979999999998,14.960479999999999,14.71389,0.011111,
SSTSL2J031946.08+412451.5,1237670960021374404,49.9420009333119,41.414332090556,5934,301,2,228,GALAXY,22.07947,21.31372,20.38877,20.111320000000003,19.47587,0.028208999999999998,
2MASXJ03195290+4136312,1237661059574334013,49.97050602745,41.60878551268161,3629,301,1,67,GALAXY,17.54603,15.85835,15.134870000000001,14.79245,14.56325,0.018483000000000003,SPEC
ABELL0426:[CGW2003]29,1237661122387969371,49.828286333993304,41.4423948747219,3643,301,6,63,GALAXY,24.35732,21.33069,20.464679999999998,20.533260000000002,20.539939999999998,0.017044999999999998,
2MASXJ03192236+4125461,1237661122388033567,49.8433339326279,41.4293429861764,3643,301,6,64,GALAXY,16.61484,14.688320000000001,13.830570000000002,13.43061,13.14548,0.017712000000000002,
ABELL0426:[CGW2003]20,1237661055281727536,49.7934713177587,41.493592893410295,3628,301,1,103,GALAXY,20.93458,19.001920000000002,18.363220000000002,17.99279,17.87104,0.024434,
BGP073,1237661059574401505,50.1114780303623,41.4826081303745,3629,301,1,68,GALAXY,23.32615,23.54969,21.94098,22.24266,21.974610000000002,0.018022,
2MASXJ03193743+4137580,1237661059574333464,49.9061197592301,41.632875403402295,3629,301,1,67,GALAXY,16.74333,14.98855,14.21225,13.850979999999998,13.594029999999998,0.0286,
2MASXJ03202856+4129195,1237661059574399621,50.1192252410432,41.4888413840045,3629,301,1,68,GALAXY,16.87748,15.067210000000001,14.2362,13.820879999999999,13.578079999999998,0.018338999999999998,
