ObjectName,RA,DEC
NGC0507,20.91628,33.25606
MCXCJ0123.6+3315,20.92083,33.26111
ARP229,20.91792,33.26778
NGC0508,20.91917,33.28028
RSCG08,20.87521,33.27152
2MASSJ01234862+3313164,20.95261,33.22121
SDSSJ012353.87+331427.1,20.97446,33.24088
2MASXJ01234154+3312102,20.9233,33.2028
NGC0504,20.86625,33.20444
SDSSJ012333.68+331927.2,20.89035,33.32423
IC1687,20.82958,33.27528
NGC0503,20.86846,33.33172
ARK039,20.99383,33.31326
2MASXJ01234321+3321012,20.93004,33.35044
SDSSJ012407.98+331510.6,21.03329,33.25295
2MASXJ01235909+3319541,20.99612,33.33164
SDSSJ012318.29+331944.4,20.82622,33.32901
IC1690,20.95642,33.15628
SDSSJ012411.21+331412.1,21.04643,33.23658
SDSSJ012311.65+331055.5,20.79857,33.18223
SDSSJ012322.41+330839.8,20.8434,33.14435
NGC0507GROUP,20.82946,33.36076
SDSSJ012409.31+331047.9,21.03909,33.1801
SDSSJ012406.33+330943.8,21.0264,33.16217
SDSSJ012308.93+331956.9,20.78722,33.33248
IC1685,20.7775,33.18944
SDSSJ012301.13+331516.3,20.75472,33.25453
2MASXJ01232343+3322542,20.84792,33.38194
SDSSJ012419.76+331431.9,21.08236,33.24221
[MHS2013]011,21.0918,33.256
WHLJ012356.6+330657,20.98565,33.11597
2MASSJ01235652+3306576,20.98594,33.11599
SDSSJ012259.77+331141.3,20.74906,33.19482
SDSSJ012300.75+331057.0,20.75316,33.18251
RMJ012340.2+330553.5,20.91767,33.09819
2MASXJ01234027+3305532,20.91767,33.09811
2MASSJ01235023+3324397,20.95935,33.41097
SDSSJ012416.59+332114.0,21.06865,33.35408
2MASXJ01234321+3324592,20.93,33.41639
SDSSJ012423.89+331852.4,21.09957,33.31458
2MASXJ01230483+3322062,20.77017,33.36847
2MASSJ01233189+3305142,20.88291,33.08737
WHLJ012331.9+330515,20.88291,33.08737
WHLJ012309.3+332335,20.78886,33.393
[WH2015]0093,20.78886,33.393
RMJ012309.3+332334.8,20.78886,33.393
2MASXJ01230930+3323342,20.78879,33.39297
NGC0494,20.73083,33.17389
IC1688,20.86708,33.08306
SDSSJ012249.84+331314.4,20.70773,33.22067
2MASSJ01232381+3325317,20.84911,33.42548
SDSSJ012310.41+332413.5,20.79339,33.40376
SDSSJ012418.78+330808.4,21.07758,33.13659
[HMS56]0122+3305,20.82962,33.42743
NGC0501,20.84336,33.43296
SDSSJ012247.30+331111.6,20.69712,33.18658
SDSSJ012319.07+332622.9,20.82949,33.4397
IC1689,20.94942,33.05533
IC1692,21.16483,33.23581
SDSSJ012319.72+332717.7,20.83218,33.45494
SDSSJ012330.78+330251.1,20.87786,33.04741
IC1691,21.1075,33.40694
SDSSJ012246.43+330821.5,20.69346,33.13933
SDSSJ012436.71+330915.6,21.15295,33.1542
B20120+33:[MLO2002]CLUSTER,20.6875,33.37083
IC1684,20.72167,33.41361
NGC0499Group,20.80083,33.46111
SDSSJ012307.44+330333.3,20.78103,33.05928
