No.	|	Object Name	|	RA	|	DEC	|	Type	|	Velocity	|	Redshift	|	Redshift Flag	|	Magnitude and Filter	|	Separation	|	References	|	Notes	|	Photometry Points	|	Positions	|	Redshift Points	|	Diameter Points	|	Associations
1	|	NGC 1275	|	 49.95067 	|	  41.51170 	|	G	|	  5264	|	 0.017559 	|	    	|	11.8B	|	  0.000	|	1867	|	47	|	527	|	83	|	52	|	8	|	0
3	|	2MASXi J0319419+412957	|	 49.92479 	|	  41.49950 	|	G	|	  5041	|	 0.016814 	|	SPEC	|	17.56	|	  1.374	|	6	|	0	|	16	|	4	|	3	|	0	|	0
4	|	2MASX J03195122+4132072	|	 49.96350 	|	  41.53536 	|	G	|	  5821	|	 0.019417 	|	    	|	17.7 	|	  1.532	|	6	|	0	|	29	|	4	|	0	|	2	|	1
5	|	2MASXi J0319555+413123	|	 49.98137 	|	  41.52311 	|	G	|	  5486	|	 0.018300 	|	    	|	16.2:	|	  1.540	|	10	|	1	|	12	|	4	|	0	|	0	|	0
6	|	ABELL 0426:[CGW2003] 45	|	 49.92375 	|	  41.48806 	|	G	|	  3120	|	 0.010407 	|	    	|	18.7B	|	  1.864	|	5	|	0	|	3	|	1	|	2	|	0	|	0
7	|	SA 0426-030	|	 49.93125 	|	  41.48136 	|	G	|	  2886	|	 0.009627 	|	    	|	20.8B	|	  2.018	|	4	|	0	|	2	|	0	|	1	|	0	|	0
8	|	2MASX J03195247+4132592	|	 49.96867 	|	  41.54981 	|	G	|	  6206	|	 0.020700 	|	    	|	16.9:	|	  2.425	|	6	|	1	|	23	|	4	|	0	|	2	|	0
9	|	2MASX J03193731+4129090	|	 49.90537 	|	  41.48594 	|	G	|	  6661	|	 0.022219 	|	    	|	16.5:	|	  2.555	|	11	|	1	|	31	|	6	|	2	|	2	|	0
10	|	NGC 1274	|	 49.91896 	|	  41.54864 	|	G	|	  6413	|	 0.021391 	|	    	|	15.12	|	  2.635	|	50	|	3	|	38	|	15	|	10	|	7	|	0
11	|	V Zw 338	|	 50.01137 	|	  41.50957 	|	G	|	  4827	|	 0.016100 	|	    	|	17.6 	|	  2.731	|	6	|	1	|	1	|	0	|	1	|	0	|	1
12	|	2MASX J03200271+4130333	|	 50.01138 	|	  41.50931 	|	G	|	  5034	|	 0.016791 	|	SPEC	|	     	|	  2.731	|	0	|	0	|	25	|	4	|	2	|	2	|	3
13	|	ABELL 0426:[PC2008] 54	|	 49.95250 	|	  41.55794 	|	G	|	  3363	|	 0.011218 	|	    	|	19.7B	|	  2.776	|	1	|	0	|	2	|	0	|	1	|	0	|	0
14	|	NGC 1279	|	 49.99612 	|	  41.47953 	|	G	|	  7285	|	 0.024300 	|	    	|	15.5 	|	  2.810	|	19	|	1	|	22	|	4	|	2	|	2	|	0
15	|	NGC 1278	|	 49.97563 	|	  41.56339 	|	G	|	  6090	|	 0.020314 	|	    	|	13.57	|	  3.298	|	86	|	6	|	40	|	17	|	13	|	7	|	0
16	|	2MASX J03194386+4127251	|	 49.93267 	|	  41.45697 	|	G	|	  3937	|	 0.013132 	|	    	|	14.96	|	  3.382	|	16	|	0	|	34	|	8	|	5	|	2	|	0
17	|	V Zw 339	|	 50.00362 	|	  41.55375 	|	G	|	  5186	|	 0.017300 	|	    	|	16.3 	|	  3.468	|	22	|	1	|	30	|	9	|	6	|	2	|	0
18	|	RSCG 21	|	 49.90266 	|	  41.56081 	|	GGroup	|	  5096	|	 0.017000 	|	    	|	     	|	  3.651	|	3	|	0	|	0	|	2	|	0	|	0	|	0
19	|	2MASS J03193364+4133128	|	 49.89020 	|	  41.55355 	|	IrS	|	  5133	|	 0.017121 	|	SPEC	|	     	|	  3.699	|	1	|	0	|	16	|	4	|	2	|	0	|	0
20	|	NGC 1277	|	 49.96454 	|	  41.57353 	|	G	|	  5066	|	 0.016898 	|	    	|	14.66	|	  3.762	|	73	|	4	|	40	|	17	|	14	|	7	|	0
21	|	2MASX J03194466+4126472	|	 49.93604 	|	  41.44644 	|	G	|	  3963	|	 0.013219 	|	    	|	16.9:	|	  3.970	|	13	|	2	|	30	|	6	|	3	|	2	|	0
22	|	NGC 1273	|	 49.86142 	|	  41.54053 	|	G	|	  5387	|	 0.017969 	|	    	|	14.27	|	  4.366	|	75	|	4	|	46	|	14	|	11	|	6	|	0
23	|	2MASS J03192305+4129282	|	 49.84609 	|	  41.49117 	|	G	|	  3702	|	 0.012347 	|	SPEC	|	     	|	  4.858	|	1	|	0	|	6	|	3	|	2	|	0	|	0
24	|	CGCG 540-101	|	 49.89263 	|	  41.58056 	|	G	|	  4500	|	 0.015010 	|	    	|	15.42	|	  4.885	|	47	|	2	|	32	|	13	|	9	|	4	|	0
25	|	2MASX J03194782+4135472	|	 49.94917 	|	  41.59634 	|	G	|	  7450	|	 0.024851 	|	    	|	15.5 	|	  5.079	|	27	|	1	|	28	|	11	|	10	|	3	|	0
