objID,ra,dec,psfMag_u0,psfMag_g0,psfMag_r0,psfMag_i0,psfMag_z0,fiberMag_u0,fiberMag_g0,fiberMag_r0,fiberMag_i0,fiberMag_z0,fiber2Mag_u0,fiber2Mag_g0,fiber2Mag_r0,fiber2Mag_i0,fiber2Mag_z0,petroMag_u0,petroMag_g0,petroMag_r0,petroMag_i0,petroMag_z0,petroRad_u,petroRad_g,petroRad_r,petroRad_i,petroRad_z,petroR50_u,petroR50_g,petroR50_r,petroR50_i,petroR50_z,petroR90_u,petroR90_g,petroR90_r,petroR90_i,petroR90_z,q_u,q_g,q_r,q_i,q_z,u_u,u_g,u_r,u_i,u_z,mE1_u,mE1_g,mE1_r,mE1_i,mE1_z,mE2_u,mE2_g,mE2_r,mE2_i,mE2_z,mRrCc_u,mRrCc_g,mRrCc_r,mRrCc_i,mRrCc_z,mCr4_u,mCr4_g,mCr4_r,mCr4_i,mCr4_z,mE1PSF_u,mE1PSF_g,mE1PSF_r,mE1PSF_i,mE1PSF_z,mE2PSF_u,mE2PSF_g,mE2PSF_r,mE2PSF_i,mE2PSF_z,mRrCcPSF_u,mRrCcPSF_g,mRrCcPSF_r,mRrCcPSF_i,mRrCcPSF_z,mCr4PSF_u,mCr4PSF_g,mCr4PSF_r,mCr4PSF_i,mCr4PSF_z,deVRad_u,deVRad_g,deVRad_r,deVRad_i,deVRad_z,deVAB_u,deVAB_g,deVAB_r,deVAB_i,deVAB_z,deVMag_u0,deVMag_g0,deVMag_r0,deVMag_i0,deVMag_z0,expRad_u,expRad_g,expRad_r,expRad_i,expRad_z,expAB_u,expAB_g,expAB_r,expAB_i,expAB_z,expMag_u0,expMag_g0,expMag_r0,expMag_i0,expMag_z0,cModelMag_u0,cModelMag_g0,cModelMag_r0,cModelMag_i0,cModelMag_z0,aperFlux7_u,aperFlux7_g,aperFlux7_r,aperFlux7_i,aperFlux7_z,fracDeV_u,fracDeV_g,fracDeV_r,fracDeV_i,fracDeV_z,dered_u,dered_g,dered_r,dered_i,dered_z,PhotoZ
1237661055281594545,49.333674957476,41.6503140982436,23.93157,20.98571,20.05536,19.68401,22.61757,21.12616,19.58749,18.91231,18.33503,18.31561,21.91214,20.39586,19.73537,19.19604,19.17439,27.99108,17.31549,16.18465,15.38349,27.8761,2.969684,13.40638,14.5298,15.08739,2.969694,-9999,5.506168,6.395714,6.99541,-9999,-9999,9.642501,11.94591,12.09623,-9999,0.2278156,-0.03454582,0.005974412,-0.05107901,0.2504097,-0.08039457,0.0310265,0.02201529,0.007742448,-0.08017468,-9999,-0.1216946,-0.07193708,-0.2041573,-9999,-9999,-0.08936877,-0.228204,-0.1792091,-9999,-9999,372.9197,373.8835,495.6337,-9999,-9999,2.099136,2.106797,2.101659,-9999,0.1789658,-0.1061092,-0.03303927,-0.1499438,-0.1398538,0.09011099,0.1424671,0.291964,0.1606741,-0.07150562,3.218229,2.136034,2.300833,1.889889,2.221627,2.082852,2.106878,2.051204,2.089365,2.085731,0.03342068,29.67021,29.66816,29.66459,0.03511035,0.5602081,0.9219868,0.8999864,0.9941071,0.5294992,23.93141,16.18795,15.2509,14.45032,22.61737,0.03387196,8.21328,8.210162,9.379957,0.03512027,0.5597354,0.8122206,0.7999558,0.7792208,0.5288923,23.93141,17.02925,16.0717,15.17685,22.61737,23.93141,17.02925,16.0717,15.17685,22.61737,3.670156E-05,49.7297,137.4844,288.7727,0.0001545348,0,0,0,0,0,24.64968,17.04604,16.07169,15.32409,24.5238,-9999
1237661055281725712,49.6550198444648,41.5208707651725,23.8974,20.66639,20.21277,19.34681,22.60728,21.12648,19.80014,19.46302,18.88508,18.79686,22.01773,20.67167,20.2422,19.6254,19.46891,27.37606,16.36225,16.32411,15.37793,27.02732,2.969835,14.98177,15.16678,16.96313,2.969648,-9999,7.214172,7.612374,8.244005,-9999,-9999,13.43893,14.98566,16.98843,-9999,0.2663224,-0.2171539,-0.1069129,-0.1067625,0.4028154,-8.103882E-05,0.05188978,0.04864296,0.04023161,0.01356985,-9999,-0.3659041,-0.2435366,-0.194874,-9999,-9999,0.521151,0.4207851,0.3419018,-9999,-9999,417.2372,425.2635,491.6413,-9999,-9999,2.155778,2.167725,2.184996,-9999,0.1699721,-0.09505036,0.04187202,-0.08221489,-0.1535918,0.09302869,0.1483257,0.2311401,0.09908172,-0.08822136,3.003968,2.334638,1.746587,1.825553,1.906218,2.066694,2.114624,2.080299,2.096938,2.116687,0.03416188,29.66993,29.66599,29.67249,0.03682404,0.528145,0.5420054,0.5838832,0.7116137,0.3542502,23.89764,15.73859,15.70924,14.80951,22.6073,0.03444086,10.32649,10.23317,10.48704,0.03624796,0.5265235,0.4858166,0.5620267,0.6859875,0.3723934,23.89764,16.28297,16.29191,15.34307,22.6073,23.89764,16.28297,16.29191,15.34307,22.6073,3.633285E-05,86.15285,98.05885,232.5858,0.0001538554,0,0,0,0,0,25.6697,16.24358,16.29191,15.47576,24.02002,-9999
1237661056355598609,50.5918045294831,42.0146387492174,20.09167,17.85564,16.97962,18.63246,22.16,15.825,16.17074,15.69072,15.76377,13.40534,16.74445,16.93806,16.50923,16.63384,14.33279,18.59463,15.28876,15.01974,15.05452,23.09249,4.244956,4.058282,4.241505,4.639408,2.969846,1.675848,2.004212,2.048996,2.29646,-9999,3.835988,4.474375,4.690222,5.685215,-9999,0.02109508,-0.04603296,-0.1262593,-0.05224491,-0.3067922,-0.05710462,0.1157233,-0.01397121,0.03956402,0.2944771,-0.1454164,-0.1106254,0.03068121,0.01517278,0.08538911,-0.08616126,0.3675111,0.1081048,0.01683834,0.3223283,13.36854,17.38736,17.23553,18.37012,6.292872,2.340203,0.7568535,0.7129234,0.6993296,1.936027,-0.09574583,-0.1439188,-0.01730744,-0.04913024,-0.06408337,0.1040557,0.05773278,0.01512184,-0.03060408,0.03362864,1.944941,2.184924,1.814857,1.236173,1.430419,2.125334,2.106045,2.154288,2.390757,2.255002,2.760885,3.296477,2.124464,12.3208,1.098882,0.8324095,0.8945422,0.8736535,0.9706589,0.5509295,18.27866,16.35851,15.52024,15.75832,21.53177,1.468188,2.704564,1.958098,5.99157,0.1305086,0.8219011,0.7978466,0.8279979,0.8187786,0.9996706,18.67158,15.79753,14.94239,15.64352,22.05869,18.36313,15.94145,15.29408,15.64352,21.53177,18.30023,429.5311,652.1983,686.8028,-0.126159,0.7534822,0.3076726,0.6704381,0,1,18.45539,16.72017,15.52026,18.18957,21.12556,0.193167
1237661059574399521,50.0671343878165,41.4826275931456,21.61794,20.26962,19.68674,19.41138,18.97378,21.23274,19.55583,18.84092,18.49102,18.20635,22.00096,20.32115,19.60807,19.25706,18.96339,18.92352,17.17827,16.43373,16.07318,16.05165,27.92196,12.19697,12.27438,11.97212,10.31499,5.404744,4.931534,4.974494,4.988018,4.129703,9.189537,12.73501,12.47324,12.82794,9.376524,-0.03912798,-0.02025658,-0.01087077,-0.01573703,-0.0556898,0.0839447,-0.01003378,-0.01131016,-0.008196486,-0.004007534,0.01919308,-0.06110463,-0.02411556,-0.054903,-0.1409907,0.3905009,-0.03510088,-0.03732127,-0.02366269,-0.04047126,135.5039,73.74547,74.92741,74.81217,64.07027,2.447656,2.436592,2.435715,2.424186,2.452543,0.3049913,0.02011583,-0.01444094,-0.1843537,-0.1157721,0.09669055,0.1293395,0.1272097,0.1594501,-0.1710938,3.180677,1.995758,1.702236,1.422823,1.798513,2.069357,2.094119,2.135774,2.273744,2.115777,19.12041,11.32354,12.17088,11.63713,10.61785,0.5280408,0.9499887,0.9433762,0.9440828,0.8653874,18.24464,16.68841,15.90038,15.56492,15.48729,6.123898,3.8293,4.329019,4.349727,3.736887,0.688651,0.9691921,0.9244096,0.9244667,0.8688261,18.86445,17.38705,16.57147,16.20341,16.14903,18.48173,17.05928,16.27606,15.93255,15.86323,9.878805,54.83698,127.6283,191.2734,246.6104,0.5490132,0.3902301,0.3655644,0.3539469,0.3587145,18.44087,16.63979,15.90033,15.53641,15.34495,0.056054
1237661059574596597,50.5022318351594,41.1689778266351,21.21328,19.89983,19.22822,19.06329,18.60661,20.90727,19.29248,18.5591,18.22024,17.96285,21.63533,20.02746,19.2856,18.94808,18.69259,18.84122,17.43354,16.73667,16.36151,16.12994,8.297688,7.413244,7.371383,8.018083,7.462371,3.890428,3.283448,3.201876,3.315711,3.201526,10.09435,9.908261,9.315663,9.403811,9.933206,-0.001951136,-0.06024949,-0.06013982,-0.07169091,-0.089347,-0.04957015,-0.1292511,-0.1458691,-0.1461643,-0.1683292,-0.01844898,-0.1352324,-0.1360118,-0.1430401,-0.1881075,-0.3280793,-0.4401508,-0.4672325,-0.4756515,-0.5157142,54.14857,39.22647,38.63202,38.58667,40.98096,2.345647,2.333743,2.348411,2.365124,2.345567,0.2797226,0.009132784,-0.02124483,-0.2212237,-0.1771745,0.0983802,0.1380698,0.184241,0.1717757,-0.0680345,3.009811,1.893132,1.825231,1.375667,1.97342,2.066216,2.132652,2.099885,2.334408,2.099509,12.93799,7.970737,7.831851,8.205761,8.666251,0.5365908,0.5293582,0.5079824,0.5092924,0.4643472,18.20721,17.09781,16.39707,16.01861,15.73133,3.881459,3.155972,3.275819,3.281039,3.184076,0.5954504,0.5555694,0.5389112,0.5316855,0.4851176,18.99165,17.65521,16.92023,16.58442,16.35247,18.44437,17.42138,16.67545,16.30601,16.09934,13.23866,54.82772,122.5325,185.3421,239.7431,0.6185913,0.3581727,0.4085014,0.4273948,0.3401178,18.68079,17.12341,16.39707,16.05763,15.79088,0.065136
1237661083199537758,50.5017415257598,40.863842044543,24.20519,22.83312,21.26586,22.38615,20.69965,22.94333,21.17877,20.07096,20.04127,19.19553,23.44388,21.88333,20.74771,20.80749,19.78628,26.85286,20.76029,19.33201,19.66198,20.03776,166.5107,2.969408,2.96951,2.969309,2.070863,-9999,3.812111,3.833879,3.832759,2.425221,-9999,5.577828,5.575371,5.571803,5.366363,-0.06565476,-0.0504566,-0.03807611,-0.003203212,-0.08456438,-0.04272173,-0.02125165,0.03202754,-0.03223502,-0.01595955,-9999,-0.08913913,-0.1908814,-0.02732123,-0.3263553,-9999,-0.1851029,0.07310636,-0.04683222,-0.0662934,-9999,2.67247,2.056215,202.1599,1.065211,-9999,2.216531,2.26819,1.837589,1.988186,0.08453578,-0.05625477,-0.09940666,-0.02890102,-0.1725701,-0.1328611,-0.0423694,0.02980778,-0.08617262,0.0164185,2.273776,1.969684,2.045375,1.494341,1.567518,2.11264,2.120839,2.164663,2.218362,2.162078,0.05421532,29.66733,29.66202,29.66249,0.0003241133,0.9982439,0.9145028,0.861095,0.9644036,0.1930254,24.2447,18.47952,16.83289,17.21119,20.74989,0.06005202,15.87781,25.88943,24.01925,9.876649E-05,0.9964603,0.612058,0.7743714,0.6204922,0.05,24.24514,18.67885,16.26183,16.92369,20.7503,24.2447,18.55916,16.28418,16.95523,20.74989,-2.920903,4.659858,19.9247,15.81398,10.07879,1,0.5783119,0.04981543,0.1230779,1,30.14561,18.19251,16.26183,16.7309,25.64133,-9999
1237661055282053394,50.3724141190627,40.9714411497885,24.04776,21.54604,21.02676,19.37407,22.65207,22.99241,19.95786,19.25101,17.84755,17.35849,23.73565,20.84916,20.08976,18.71285,18.25485,20.04824,17.20145,16.34963,14.45137,28.44506,2.969303,43.76835,43.76291,43.77102,2.969458,28.59639,17.02847,15.25043,13.29472,-9999,29.58976,25.00209,25.77384,24.25364,-9999,0.4628991,-0.3977288,-0.399234,-0.217632,0.3725646,-7.606975E-06,0.01667805,0.01931523,0.009935393,1.085925E-05,-9999,-0.3922416,-0.4214167,-0.35085,-9999,-9999,0.09673298,-0.7570328,-0.74626,-9999,-9999,166.1116,2989.47,2352.535,-9999,-9999,2.389943,1.72127,1.880659,-9999,0.1884757,-0.1465258,0.004023244,-0.1508349,-0.18237,0.1046667,0.1866902,0.1703931,0.1233417,0.03424323,3.186185,2.066635,2.28262,2.175962,2.47152,2.078331,2.137643,2.065715,2.063013,2.044454,29.66031,29.66943,29.66504,29.67062,0.0361894,0.3662691,0.507278,0.5193349,0.7651131,0.4068182,22.39045,17.14771,16.40729,14.28834,22.65197,59.32813,35.17673,30.69468,19.88894,0.03633309,0.2435184,0.1999732,0.2382243,0.3992643,0.4030095,19.82224,16.84428,16.06824,14.4116,22.65197,19.82224,16.91671,16.09377,14.38129,22.65197,3.663999E-05,21.77454,48.00473,332.3482,0.0001547265,0,0.264685,0.08663273,0.2355209,1,22.46542,16.92386,16.06824,14.18683,25.86223,-9999
1237661055818662726,50.2678243093659,41.7432439486136,23.89288,24.53792,20.51665,20.13708,22.60457,22.54887,20.76566,20.16123,19.43042,19.38997,22.8934,21.38052,20.81264,20.15348,20.02579,27.92031,28.53077,16.39981,15.60282,27.51744,2.969586,2.969481,27.92068,27.92005,2.970206,-9999,-9999,13.30164,11.25501,-9999,-9999,-9999,17.30256,16.54663,-9999,-0.632908,-1.31369,-0.4262823,-0.2031859,-0.2103919,1.967607E-05,-0.01217192,0.03935531,0.004321716,0.002788375,-9999,-9999,-0.906709,-9999,0.8823192,-9999,-9999,1.088699,-9999,-0.4706516,-9999,-9999,625.4033,-9999,16.99927,-9999,-9999,0.8933776,-9999,0,0.1109115,-0.08855679,-0.008711656,-0.02126131,-0.1830136,0.1314922,0.1328901,0.02435594,0.03678044,-0.03491716,2.577667,2.123331,1.869518,1.424982,1.470963,2.086115,2.098787,2.106461,2.238471,2.296771,0.03668169,10.76483,29.6662,29.67226,0.0434186,0.1783423,0.9997343,0.2397344,0.9266677,0.7211012,23.89241,25.43576,16.64569,15.20309,22.60414,0.03616598,2.082203,30.69355,16.47308,0.04365931,0.1969666,0.9927071,0.1137526,0.5582389,0.715893,23.89241,24.62235,16.24333,15.43614,22.60416,23.89241,25.43576,16.24333,15.38332,22.60414,4.506139E-05,-0.01071652,37.23917,118.8284,0.06239415,1,1,0,0.2082168,1,26.24641,26.59793,16.24334,15.63313,25.74057,-9999
1237661059574202971,49.7012289987154,41.7891253302123,23.7003,21.786,20.87728,20.28363,20.14462,23.69435,21.13352,20.28867,19.7075,19.69649,23.74282,21.89046,21.01041,20.44827,20.41067,31.99697,17.38794,16.22896,15.1389,15.10146,0.6663022,2.970195,19.93572,23.06257,26.53473,-9999,9.853571,10.66209,12.01825,12.24253,-9999,15.57648,18.30542,22.00014,21.47511,-0.6338341,-0.2567309,-0.3684924,-0.2939642,-0.3794071,-0.05754916,-0.01420025,0.005454407,0.01058482,-0.002491341,-9999,-0.1411513,-0.6789322,-0.1281414,-0.2107805,-9999,-0.3879981,-0.438427,0.2453868,-0.3401471,-9999,217.7381,1297.243,2.28753,691.4505,-9999,1.735366,1.852751,2.514874,0.6628762,0.2095971,0.02045369,0.008202442,-0.1212481,-0.1579419,0.1279012,0.1032057,0.04205162,0.000168084,-0.1811577,2.993049,2.300783,1.534219,0.8291265,1.713658,2.080604,2.110721,2.2177,2.143558,2.206488,0.01360065,29.66971,29.66933,29.67622,29.67231,0.1019331,0.6143071,0.4549126,0.6779856,0.4106957,23.75489,17.0785,16.24317,15.20895,15.32807,0.03572905,19.77922,19.74355,20.54559,27.86415,0.1985658,0.3870002,0.3499922,0.4138943,0.1500003,23.75492,17.01723,16.04964,15.04992,15.05615,23.75492,17.01723,16.04964,15.04992,15.05615,0.8443398,19.17528,56.74885,143.0255,175.6201,0,0,0,0,0,19.97501,17.06843,16.04973,15.19119,15.06455,0.127801
1237661059574399837,50.090881358871,41.3719481351898,23.8795,20.59753,19.61655,18.95396,22.61632,22.09328,20.20655,19.22293,18.70008,18.41887,22.81241,20.87593,19.84761,19.32751,19.01707,30.15542,15.94842,15.89629,14.89312,29.7008,2.969994,2.970015,34.56185,34.4782,2.970331,-9999,19.47532,18.01641,17.99909,-9999,-9999,41.28975,27.34773,26.71544,-9999,0.9154813,-0.2230797,-0.1901091,-0.2325022,-1.076252,-0.4018484,0.006229143,0.00823079,0.007078297,-0.1562379,0.9723921,-0.02549963,0.001837899,-0.3113219,0.2195238,-0.2333528,0.1290781,0.1685445,0.1778538,0.9756072,0.9865823,2.083367,1.34957,1.300984,40.99811,0.3113592,2.30131,2.276574,2.473996,0,0.2733088,0.04895508,-0.02111187,-0.1887566,-0.1667146,0.09141488,0.1551924,0.1995208,0.1890445,-0.08688168,3.253208,1.992981,1.750429,1.61905,1.871745,2.075464,2.125418,2.098853,2.208321,2.105698,0.04372548,29.67414,29.6743,29.67274,0.8170383,0.05,0.6882364,0.6437249,0.6758375,0.05060034,23.87797,16.41007,16.10901,15.18425,22.6116,0.04536271,31.49176,29.69182,30.70012,8.211188,0.05,0.403348,0.4001331,0.4394494,0.08926267,23.87802,15.86194,15.72559,14.65115,22.52538,23.87797,15.86268,15.81411,14.68398,22.6116,0.007379615,28.77988,46.04321,113.0431,0.1215926,1,0.001721909,0.2631558,0.07675543,1,26.46596,15.93272,15.72559,14.73348,26.40528,-9999
