ObjectName,objID,ra,dec,run,rerun,camcol,field,type,u0,g0,r0,i0,z0
SA0426-030,1237661059574334435,49.9323233236051,41.4751177635532,3629,301,1,67,STAR,22.07809,20.23078,19.57229,19.29354,19.04262
VZw338,1237661059574399032,50.0216084638056,41.5086984393312,3629,301,1,68,GALAXY,24.7602,22.99384,21.54859,20.85478,20.54133
2MASXJ03200271+4130333,1237661059574399032,50.0216084638056,41.5086984393312,3629,301,1,68,GALAXY,24.7602,22.99384,21.54859,20.85478,20.54133
NGC1279,1237661059574399003,49.9960587309178,41.4796031233691,3629,301,1,68,GALAXY,15.68824,13.97304,13.17206,12.81113,12.56329
2MASXJ03194386+4127251,1237661059574334072,49.932572183739,41.4569819802843,3629,301,1,67,GALAXY,17.46759,15.53297,14.687,14.27599,13.97466
RSCG21,1237661059574334006,49.9044894260592,41.5610128980132,3629,301,1,67,STAR,20.58868,18.45918,17.56501,17.28621,17.12408
2MASXJ03194466+4126472,1237661059574334104,49.9359622447963,41.4464621386771,3629,301,1,67,GALAXY,17.60276,15.87539,15.08417,14.73075,14.4245
GALEXMSCJ031926.90+412716.9,1237670960021374406,49.8625160801028,41.4546161207848,5934,301,2,228,GALAXY,19.66587,17.90759,17.18271,16.8694,16.70069
ABELL0426:[CGW2003]39,1237670960021374080,49.8807909056655,41.4414291470443,5934,301,2,228,GALAXY,19.79618,18.23714,17.57233,17.28773,17.09613
2MASXJ03194292+4136031,1237661059574333649,49.9286896567824,41.6007242293514,3629,301,1,67,GALAXY,17.69865,16.04441,15.30898,14.96048,14.71389
SSTSL2J031946.08+412451.5,1237670960021374404,49.9420009333119,41.414332090556,5934,301,2,228,GALAXY,22.07947,21.31372,20.38877,20.11132,19.47587
2MASXJ03195290+4136312,1237661059574334013,49.97050602745,41.6087855126816,3629,301,1,67,GALAXY,17.54603,15.85835,15.13487,14.79245,14.56325
ABELL0426:[CGW2003]29,1237661122387969371,49.8282863339933,41.4423948747219,3643,301,6,63,GALAXY,24.35732,21.33069,20.46468,20.53326,20.53994
2MASXJ03192236+4125461,1237661122388033567,49.8433339326279,41.4293429861764,3643,301,6,64,GALAXY,16.61484,14.68832,13.83057,13.43061,13.14548
ABELL0426:[CGW2003]20,1237661055281727536,49.7934713177587,41.4935928934103,3628,301,1,103,GALAXY,20.93458,19.00192,18.36322,17.99279,17.87104
BGP073,1237661059574401505,50.1114780303623,41.4826081303745,3629,301,1,68,GALAXY,23.32615,23.54969,21.94098,22.24266,21.97461
2MASXJ03193743+4137580,1237661059574333464,49.9061197592301,41.6328754034023,3629,301,1,67,GALAXY,16.74333,14.98855,14.21225,13.85098,13.59403
2MASXJ03202856+4129195,1237661059574399621,50.1192252410432,41.4888413840045,3629,301,1,68,GALAXY,16.87748,15.06721,14.2362,13.82088,13.57808
2MASXJ03202936+4130525,1237661059574399450,50.1222973717952,41.514566162899,3629,301,1,68,GALAXY,16.78384,15.0847,14.31444,13.95072,13.73811
NGC1281,1237661059574333719,50.0254883798307,41.6300421406017,3629,301,1,67,GALAXY,15.89563,13.87745,13.00978,12.59449,12.29685
