objID,objID1,psfMag_u0,psfMag_g0,psfMag_r0,psfMag_i0,psfMag_z0,fiberMag_u0,fiberMag_g0,fiberMag_r0,fiberMag_i0,fiberMag_z0,fiber2Mag_u0,fiber2Mag_g0,fiber2Mag_r0,fiber2Mag_i0,fiber2Mag_z0,petroMag_u0,petroMag_g0,petroMag_r0,petroMag_i0,petroMag_z0,petroRad_u,petroRad_g,petroRad_r,petroRad_i,petroRad_z,petroR50_u,petroR50_g,petroR50_r,petroR50_i,petroR50_z,petroR90_u,petroR90_g,petroR90_r,petroR90_i,petroR90_z,q_u,q_g,q_r,q_i,q_z,u_u,u_g,u_r,u_i,u_z,mE1_u,mE1_g,mE1_r,mE1_i,mE1_z,mE2_u,mE2_g,mE2_r,mE2_i,mE2_z,mRrCc_u,mRrCc_g,mRrCc_r,mRrCc_i,mRrCc_z,mCr4_u,mCr4_g,mCr4_r,mCr4_i,mCr4_z,mE1PSF_u,mE1PSF_g,mE1PSF_r,mE1PSF_i,mE1PSF_z,mE2PSF_u,mE2PSF_g,mE2PSF_r,mE2PSF_i,mE2PSF_z,mRrCcPSF_u,mRrCcPSF_g,mRrCcPSF_r,mRrCcPSF_i,mRrCcPSF_z,mCr4PSF_u,mCr4PSF_g,mCr4PSF_r,mCr4PSF_i,mCr4PSF_z,deVRad_u,deVRad_g,deVRad_r,deVRad_i,deVRad_z,deVAB_u,deVAB_g,deVAB_r,deVAB_i,deVAB_z,deVMag_u0,deVMag_g0,deVMag_r0,deVMag_i0,deVMag_z0,expRad_u,expRad_g,expRad_r,expRad_i,expRad_z,expAB_u,expAB_g,expAB_r,expAB_i,expAB_z,expMag_u0,expMag_g0,expMag_r0,expMag_i0,expMag_z0,cModelMag_u0,cModelMag_g0,cModelMag_r0,cModelMag_i0,cModelMag_z0,aperFlux7_u,aperFlux7_g,aperFlux7_r,aperFlux7_i,aperFlux7_z,fracDeV_u,fracDeV_g,fracDeV_r,fracDeV_i,fracDeV_z,ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z
1237680311772250504,1237680311772250504,21.08928,19.37086,18.25864,17.81117,17.51476,21.258,19.36015,18.24822,17.80149,17.4583,21.91981,19.96763,18.86205,18.41327,18.06587,19.60498,18.38342,17.24312,16.79538,16.52104,27.9322,3.775975,3.797199,3.825083,3.282691,3.495851,1.536787,1.584444,1.572692,1.429906,6.697961,4.509408,4.789611,4.784891,4.451355,-0.07913778,-0.001530973,0.01856715,0.02032397,-0.03601959,0.06832425,-0.0513831,-0.06281232,-0.05606884,-0.08010242,-0.1641459,-0.06185843,0.03878244,0.02907673,-0.05234264,-0.1488793,-0.1072495,-0.1603306,-0.1085957,-0.1129487,15.80915,8.150254,8.352346,7.507705,6.868307,2.45485,2.264979,2.300378,2.31883,2.322552,-0.1196825,-0.2162184,0.001631631,-0.05227549,-0.1788104,-0.04892201,0.06198384,-0.07769636,-0.02576019,0.05940134,4.601043,2.980949,2.856311,2.609665,2.343503,2.105836,2.110705,2.101133,2.113742,2.125613,5.052017,1.485102,1.538672,1.441985,1.315986,0.8170695,0.8145919,0.7867041,0.7950494,0.7505805,19.31566,18.33469,17.19614,16.77322,16.50758,2.250626,0.9853456,1.008663,0.9698362,0.8143905,0.6753328,0.8181145,0.8072562,0.7909908,0.7932808,19.96172,18.63997,17.50141,17.07368,16.81981,19.31566,18.33469,17.19614,16.77322,16.50758,10.36521,35.26273,107.3627,168.4469,224.1563,1,1,1,1,1,16.78312362938,32.3925802478227,20.13362,18.3241,17.19614,16.74197,16.40898
1237680315521237275,1237680315521237275,21.41094,19.66853,19.04671,18.4973,18.12082,21.32957,19.64395,18.69971,18.21872,17.81517,22.11494,20.40353,19.45561,18.97169,18.56058,18.43504,17.23934,16.42354,15.99366,15.74335,27.93165,10.26711,10.01362,9.240069,8.658175,12.74697,4.515587,4.184479,4.022583,3.684743,18.58145,10.81341,10.52919,10.69467,9.164014,0.9265437,0.3980832,0.4108598,0.4005722,0.3972335,-0.06273974,-0.05103508,-0.0498976,-0.05918285,-0.03277089,0.3969238,0.7840596,0.7805064,0.7613384,0.7318993,-0.09003703,-0.3096471,-0.2845016,-0.2660124,-0.1974395,17.67549,239.6455,178.3763,147.7346,109.3926,0.6660193,2.18637,2.283076,2.270919,2.35464,-0.1988935,-0.2213836,-0.1090365,-0.06556666,-0.1237401,0.1490432,0.09762902,0.1148007,0.1565731,0.006789775,4.988917,4.882371,3.025563,3.122227,2.810139,2.104143,2.097558,2.089106,2.103715,2.12949,21.3295,19.84616,18.70138,16.13002,15.35061,0.2466262,0.2433859,0.2500029,0.2725435,0.2846453,18.24212,16.62687,15.80723,15.44242,15.11826,6.191864,7.403242,6.469588,5.783053,5.089386,0.2172756,0.2672436,0.2901238,0.3190123,0.344654,19.06785,17.16726,16.3999,15.99772,15.7492,19.06785,17.13354,16.3156,15.9256,15.59008,12.07719,73.80135,173.1839,269.8183,377.6583,0,0.04889904,0.1111967,0.10286,0.2002842,16.7395035682317,32.2228239053675,18.94811,17.26758,16.3999,15.94577,15.60334
1237680311772250292,1237680311772250292,21.27979,19.46498,18.3381,17.92343,17.63418,21.25036,19.44884,18.34415,17.88955,17.55409,21.96391,20.07155,18.96376,18.51277,18.17356,19.7083,18.29812,17.17087,16.75876,16.4992,18.02612,4.621882,4.675314,4.348375,4.111104,3.103372,1.933757,1.974719,1.85707,1.702372,8.586934,5.004426,5.473958,5.122337,4.534704,0.06835369,-0.04061014,-0.02432525,-0.03024496,-0.05580122,-0.2809608,0.05136328,0.01070466,0.02604397,0.08122463,0.5572519,-0.07257295,0.03837933,0.03069174,-0.03798913,0.4179101,0.06877246,-0.003955501,0.0284403,0.1657653,24.37638,10.42467,9.291671,8.409003,7.594369,2.176276,2.391662,2.378591,2.375874,2.341081,-0.1180773,-0.2247915,0.0120742,-0.08858249,-0.2353179,-0.04402878,0.0937852,-0.08264469,-0.06542964,0.1560194,4.912406,3.424803,3.127815,2.705749,2.512482,2.105103,2.107323,2.10211,2.113851,2.127739,8.587147,2.075313,1.925115,1.787777,1.589144,0.47269,0.9019712,0.9000148,0.9017426,0.885767,19.22628,18.18999,17.11155,16.69963,16.45189,2.373621,1.283327,1.225186,1.182707,0.9781148,0.5176465,0.9068331,0.9165941,0.8877426,0.8585249,20.13342,18.53148,17.44895,17.0193,16.79899,19.22628,18.18999,17.11155,16.69963,16.45189,7.499403,38.4136,112.3612,172.2919,230.2645,1,1,1,1,1,16.6240388015854,32.5077596494137,20.15441,18.22609,17.11155,16.65807,16.33635
1237680311772381566,1237680311772381566,20.79575,18.89698,17.82768,17.38629,17.21747,20.79277,18.79881,17.79642,17.37555,17.02053,21.44904,19.43327,18.42886,18.00228,17.645,19.25731,17.68867,16.67783,16.28492,15.94644,18.01899,4.407976,4.464492,4.417747,4.343607,3.094105,1.802025,1.832234,1.760967,1.676071,6.959915,5.13382,5.291058,5.062494,5.16169,-0.5226885,-0.2871906,-0.2521324,-0.2434242,-0.2389818,-0.1165658,0.04022693,0.01867568,0.01818729,0.03329366,-0.6924762,-0.4540663,-0.3793324,-0.3618043,-0.3791983,-0.02569991,-0.01108478,-0.02617266,-0.04961917,0.005571869,44.63412,12.70083,13.33622,11.50951,7.739073,2.478694,2.326997,2.307776,2.309789,2.323211,-0.1787897,-0.2373334,-0.03812004,-0.05522931,-0.1907537,-0.04853419,0.06533039,-0.1004485,-0.08254303,0.1008446,3.742423,2.95838,3.440499,3.123966,1.86312,2.105739,2.114099,2.06968,2.075639,2.178305,8.400111,2.977587,2.712994,2.494612,2.288974,0.2843299,0.3705814,0.3856068,0.3960142,0.4452118,18.83233,17.53602,16.57523,16.17701,15.88004,3.311654,1.940046,1.876179,1.600838,1.425827,0.3496805,0.4151669,0.4327187,0.4663124,0.4670727,19.41627,17.82544,16.82639,16.46085,16.21737,18.83233,17.55388,16.59058,16.17759,15.88004,13.64254,66.32657,178.4646,267.8507,376.8567,1,0.9302813,0.9320253,0.9976847,1,17.1109510775623,32.4863812553874,19.56097,17.58059,16.57519,16.14223,15.82258
1237680316058107970,1237680316058107970,19.69155,17.76127,16.98154,16.55225,16.24577,19.77281,17.82529,16.89516,16.47335,16.13554,20.42439,18.48212,17.54592,17.12773,16.78962,18.40665,16.48163,15.60998,15.19298,14.88081,7.619507,5.580321,5.19712,5.090503,4.827748,2.57487,2.364735,2.220668,2.177987,2.107138,7.514547,6.99963,6.83436,6.850577,6.707878,-0.08984081,-0.1250627,-0.1250006,-0.1025763,-0.1155892,0.1983701,0.1742341,0.1733753,0.1659781,0.1713996,-0.3409596,-0.2881011,-0.2546827,-0.1958612,-0.2418598,0.4146444,0.3442647,0.3351429,0.3277145,0.3226077,22.98681,21.11331,15.92157,15.35442,14.42319,2.304781,2.318628,2.319421,2.325371,2.329977,-0.1825741,-0.2156107,-0.09987603,0.002013751,-0.15673,0.02468698,0.06357554,0.1416656,0.1426787,0.07641699,4.998123,4.587803,3.393394,3.125835,2.825705,2.110589,2.103452,2.06993,2.083297,2.125171,4.084711,3.764771,3.500018,3.323408,3.144694,0.4571031,0.4598255,0.4670965,0.4777503,0.4669073,18.2695,16.32802,15.47455,15.06424,14.76697,2.212596,2.42473,2.311517,1.994774,1.840702,0.4195919,0.4672471,0.4671209,0.5084837,0.484661,18.697,16.6368,15.78089,15.39419,15.12072,18.28687,16.35068,15.49025,15.07717,14.77441,29.09646,189.2995,450.3531,686.3798,952.123,0.9512208,0.916555,0.9416053,0.954829,0.97543,16.7378072067872,32.6224405327629,18.35271,16.36183,15.47458,15.03607,14.70395
1237680311772184955,1237680311772184955,20.99836,19.19682,18.15245,17.74466,17.40733,21.28408,19.13412,18.08381,17.61341,17.27017,21.87637,19.79247,18.73872,18.26222,17.92228,19.56161,17.8159,16.79192,16.3541,16.03069,18.01963,5.07959,4.848449,4.731672,4.576211,3.239535,2.212766,2.14127,2.068469,2.011348,7.402981,6.393275,6.291835,6.134697,5.806834,-0.3472211,-0.1147226,-0.1013058,-0.09447455,-0.09738783,-0.1362047,0.06707297,0.0563174,0.0554858,0.09727042,-0.762321,-0.2462932,-0.188021,-0.2451809,-0.1995764,0.4583226,0.1806789,0.1312736,0.1277737,0.235724,27.23895,16.86686,15.46154,13.09751,13.3702,2.241007,2.341826,2.351918,2.369437,2.375592,-0.1141778,-0.1968853,0.003503439,-0.08702901,-0.2015888,-0.03956427,0.08590098,-0.084875,-0.06474289,0.1414403,4.934155,3.534474,3.202531,2.708433,2.658744,2.10189,2.117559,2.107955,2.114864,2.131597,8.637148,3.378625,3.036547,2.750023,2.800634,0.2304587,0.6496043,0.6535354,0.6470371,0.6625257,19.2609,17.62492,16.63248,16.23562,15.88022,3.952164,1.875537,1.806886,1.558662,1.516152,0.309971,0.6607731,0.663869,0.6610262,0.6630086,19.7104,18.01585,16.99338,16.61191,16.27914,19.2609,17.66026,16.66386,16.25669,15.91955,10.02544,56.54154,154.6184,241.8191,341.8911,1,0.8940858,0.8992755,0.9343842,0.8842874,16.5866131200679,32.5301886111133,19.75737,17.68217,16.63248,16.17292,15.83262
1237680315521106273,1237680315521106273,21.12535,19.32201,18.24443,17.83803,17.48499,21.51121,19.47146,18.28111,17.8181,17.50884,22.09786,20.0831,18.89067,18.42423,18.11211,20.1658,18.39661,17.2903,16.82496,16.69036,4.610144,4.487901,3.563963,3.760537,3.229957,2.152647,1.814575,1.590522,1.55816,1.27468,3.826693,5.317317,4.704258,4.6444,3.394545,-0.2784961,-0.06480106,-0.06831878,-0.07809977,-0.07152564,-0.07671763,0.09551989,0.1153233,0.1180255,0.1044509,-0.2041518,-0.1936828,-0.1660338,-0.205931,-0.2151978,0.4286624,0.240775,0.2831172,0.285876,0.2699567,3.206035,13.14709,9.174092,7.096494,7.44879,2.386515,2.277248,2.315338,2.334465,2.337627,-0.1677389,-0.1886034,-0.09143983,-0.1022221,-0.1298238,0.1504097,0.076967,0.1347672,0.1474824,0.05349243,5.257617,4.81721,3.205096,2.48649,2.605435,2.109949,2.107316,2.077979,2.118948,2.129821,1.83674,1.890411,1.736785,1.636774,1.296668,0.3737763,0.6412086,0.5772498,0.5525824,0.5072777,20.33466,18.34189,17.23394,16.804,16.62148,2.099096,1.261435,1.093414,1.028333,0.955438,0.4083128,0.6240744,0.609216,0.5630504,0.5213224,20.24665,18.63963,17.54711,17.12722,16.8471,20.33466,18.34189,17.23394,16.804,16.63421,6.238475,35.62525,104.3209,166.3784,192.6369,1,1,1,1,0.9378718,16.4621338888862,32.2160580007468,20.30544,18.4116,17.23394,16.76756,16.45024
1237680315521105995,1237680315521105995,21.10932,19.2436,18.4319,18.04498,17.63457,21.03255,19.2218,18.29552,17.83476,17.46733,21.81207,19.9201,18.97399,18.50505,18.13436,20.05259,17.64453,16.84756,16.37709,16.16437,3.608587,7.39922,5.996175,5.784277,4.828563,1.726918,2.984902,2.52003,2.514008,2.161663,7.112417,7.682563,7.142173,7.895206,6.481599,-0.1504057,-0.2576844,-0.2665957,-0.2554626,-0.2850391,0.2012668,-0.02311351,0.006187074,0.02302284,0.04033834,-0.01242014,-0.5451199,-0.3569258,-0.3726097,-0.3194115,0.57968,0.01135113,0.08347324,0.1512666,0.0978035,17.93922,47.03664,22.8273,18.90934,17.15479,1.750655,2.401931,2.394628,2.398894,2.345953,-0.1799371,-0.2276508,-0.07354546,-0.1235234,-0.1611198,0.1501284,0.1016984,0.119273,0.1481328,0.06250249,5.105619,4.678236,3.282867,2.536393,2.773783,2.110027,2.104182,2.07427,2.118046,2.123465,2.947684,7.092207,5.275019,4.824079,4.122837,0.1759489,0.3884183,0.4217492,0.4498781,0.4613203,20.05319,17.30049,16.57601,16.15038,15.92029,1.542208,3.678948,2.538323,2.36413,1.930364,0.1898911,0.4068932,0.4891548,0.489873,0.5349455,20.40167,17.69572,17.00927,16.59299,16.35636,20.09109,17.37274,16.6527,16.20574,15.9734,6.419205,61.71135,140.7128,218.1738,292.3318,0.8750523,0.7890211,0.7927421,0.8515282,0.8556561,16.3871276502126,32.2972563641683,19.59011,17.48602,16.57599,16.11186,15.77001
1237680316058304891,1237680316058304891,21.64158,19.83815,18.6678,18.2753,17.93446,21.9111,19.89564,18.6719,18.1793,17.87942,22.56606,20.5677,19.3411,18.84105,18.54326,18.75089,17.95481,16.77092,16.33971,16.06501,27.9289,11.78612,10.9437,10.58387,10.7261,12.60016,4.301959,4.266318,3.991501,3.975036,19.79207,10.285,11.94337,10.92958,11.03075,-0.1834641,-0.1110536,-0.06175154,-0.06489786,-0.0446818,0.02549333,0.05560566,0.06254163,0.0604563,0.05458894,-0.2164519,-0.1499357,-0.03790756,-0.07735854,-0.1218099,0.4281609,0.2009086,0.2052628,0.226616,0.1809806,16.45675,29.02984,23.88682,19.28387,18.86516,0.2676866,2.492885,2.438461,2.463741,2.409971,-0.1672169,-0.2050705,-0.08020344,-0.09520093,-0.1799106,0.00211422,0.1362197,0.06178213,0.1752644,0.08325716,5.529863,4.682487,3.963518,3.173149,3.029915,2.112369,2.095762,2.094753,2.069105,2.127591,29.67689,8.305861,6.344127,5.721875,4.846444,0.5023432,0.5545511,0.6280578,0.6498535,0.6876692,18.30208,17.67626,16.64209,16.21664,16.02246,11.52046,3.695883,2.863039,2.383394,1.939052,0.3733041,0.5704301,0.6331731,0.6767774,0.7157665,19.01229,18.21214,17.17868,16.80954,16.62961,18.30208,17.67626,16.64209,16.21664,16.02246,7.263459,38.65457,119.2029,190.1805,253.5894,1,1,1,1,1,17.3048745062164,32.5980327178583,19.68985,17.84738,16.64205,16.16147,15.85756
1237680316058304809,1237680316058304809,20.42907,18.50144,17.60432,17.32629,16.98945,20.48713,18.54901,17.63119,17.18432,16.84149,21.16619,19.20914,18.28509,17.85199,17.51892,19.49925,17.39956,16.42682,16.08502,15.92047,4.710214,4.399367,4.484911,4.129424,3.481201,1.811353,1.965266,1.982421,1.834898,1.587757,3.95602,5.116301,5.340625,4.868191,3.86508,-0.1658772,0.02808377,0.06258164,0.06511233,0.04992072,0.192218,-0.03169512,-0.04392023,-0.03858068,-0.01909078,-0.1208606,0.06637252,0.1518011,0.184046,0.1514141,0.1192911,-0.06162252,-0.08365488,-0.08570102,-0.06294195,18.62534,18.24358,17.10143,15.19695,14.34196,2.305396,2.306609,2.326038,2.312939,2.282359,-0.1675411,-0.2066652,-0.0778511,-0.09492642,-0.1805623,0.004191118,0.1375845,0.063749,0.1653761,0.09393104,5.577897,4.711198,4.011668,3.181092,3.043529,2.111481,2.097666,2.095076,2.067899,2.12639,2.34268,2.50306,2.580488,2.572127,2.125082,0.8029194,0.7466694,0.7227489,0.6934353,0.6950312,19.28834,17.23562,16.27065,15.90033,15.71365,1.641076,1.584137,1.596723,1.547526,1.277356,0.7365257,0.8084244,0.7635102,0.7236415,0.7554675,19.547,17.52532,16.57496,16.21629,16.00376,19.31094,17.30951,16.33806,15.99159,15.81478,12.56828,87.24554,225.1318,324.3502,401.4617,0.9028329,0.7190582,0.7537191,0.6807055,0.6207128,17.3222786912551,32.6113067842491,19.26926,17.22984,16.27065,15.88857,15.58568
