ObjectName,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
GALEXMSCJ031926.77+413303.4,1.23766E+18,49.8638588,41.55774705,3629,301,1,67,GALAXY,23.61262,21.97357,20.52799,19.56582,19.27147
ABELL0426:[CGW2003]24,1.23767E+18,49.8117737,41.47700448,5934,301,2,228,STAR,18.80668,17.27967,16.64702,16.39673,16.28709
2MASXJ03194485+4123551,1.23766E+18,49.93675513,41.39868658,3643,301,6,64,GALAXY,20.66756,18.29589,17.1254,16.62028,16.25408
GALEXASCJ031946.16+413735.7,1.23766E+18,49.94326655,41.62609325,3629,301,1,67,GALAXY,23.67999,21.99357,21.14605,20.65886,20.2969
ABELL0426:[CGW2003]19,1.23766E+18,49.78921372,41.52535538,3629,301,1,66,GALAXY,21.86947,20.71175,20.0103,19.6077,19.31851
ABELL0426:[CGW2003]18,1.23766E+18,49.78736009,41.5450256,3629,301,1,66,GALAXY,22.58464,21.59747,20.98747,20.62681,20.38423
2MASSJ03190509+4128126,1.23766E+18,49.77122143,41.47020448,3628,301,1,103,GALAXY,18.21838,16.57088,15.73157,15.23431,14.794
2MASXJ03200094+4120273,1.23766E+18,50.00396431,41.34095693,3628,301,1,105,GALAXY,21.11552,18.89072,17.69603,17.17861,16.74975
2MASSJ03204657+4130435,1.23766E+18,50.19391218,41.51206042,3629,301,1,68,GALAXY,19.27683,18.10404,17.53432,17.10378,16.96378
ABELL0426:[CGW2003]05,1.23766E+18,49.73211376,41.3949197,3643,301,6,63,GALAXY,23.7234,21.72105,20.74507,20.3291,20.15757
SDSSJ032026.40+412052.5,1.23766E+18,50.11003508,41.34793732,3629,301,1,68,STAR,21.90842,20.23494,19.55946,19.26923,19.19239
2MASXJ03193195+4118151,1.23766E+18,49.88319113,41.30423381,3628,301,1,105,GALAXY,19.29422,17.57471,16.58471,16.09588,15.75488
SDSSJ031936.68+414447.2,1.23767E+18,49.90287311,41.74647658,5817,301,3,249,STAR,21.52397,20.52216,19.88009,19.69829,19.55632
2MASSJ03204249+4141408,1.23766E+18,50.17759745,41.694712,3628,301,2,104,GALAXY,21.10479,18.94442,17.83062,17.32303,16.93644
WHLJ032042.2+414342,1.23766E+18,50.17580933,41.72840113,3628,301,2,104,GALAXY,24.27424,21.8544,20.26027,19.02306,18.43987
2MASXJ03201053+4114443,1.23766E+18,50.04377965,41.2456151,3628,301,1,105,GALAXY,19.5831,17.97278,17.1322,16.63988,16.33614
SDSSJ031827.08+414304.7,1.23766E+18,49.61286975,41.71798499,3629,301,1,65,STAR,21.50986,20.67915,20.1932,20.06116,19.86247
WHLJ031807.9+412455,1.23766E+18,49.533039,41.41523673,3628,301,1,103,GALAXY,21.38363,19.24483,17.72598,17.10141,16.68387
2MASSJ03183962+4146189,1.23766E+18,49.66509965,41.7720034,3629,301,1,65,GALAXY,19.20528,17.99258,17.37716,16.94209,16.74133
2MASXJ03180371+4119227,1.23766E+18,49.51541393,41.32305992,3634,301,5,105,GALAXY,19.84967,17.69697,16.70314,16.2012,15.81817
WHLJ032033.8+410935,1.23766E+18,50.14084596,41.15983816,3628,301,1,106,GALAXY,22.95366,22.0861,20.34307,19.3172,18.76489
