ObjectName,objID,ra,dec,run,rerun,camcol,field,type,u0,g0,r0,i0,z0
NGC0386,1237680315521302757,16.8804167368139,32.3619239226201,8112,301,4,36,GALAXY,16.35598,14.58776,13.82127,13.4313,13.12566
RSCG05,1237680315521237447,16.8505443352562,32.3536017685676,8112,301,4,35,STAR,23.88066,21.45418,19.97645,18.67425,18.10199
SDSSJ010714.97+322204.7,1237680315521237929,16.8124069884332,32.3679948868166,8112,301,4,35,GALAXY,21.60529,22.60405,21.24989,20.2235,19.8762
2MASXJ01070798+3223335,1237680311772250504,16.78312362938,32.3925802478227,8111,301,5,174,GALAXY,20.13362,18.3241,17.19614,16.74197,16.40898
SDSSJ010706.70+322257.6,1237680311772250496,16.7779437024662,32.382681243738,8111,301,5,174,GALAXY,23.69321,20.41403,18.64558,18.01313,17.69742
UGC00679,1237680311772250464,16.7650049756796,32.3895546788151,8111,301,5,174,GALAXY,17.1425,16.04856,15.63828,15.42416,15.29288
SDSSJ010716.14+322014.7,1237680315521237465,16.8172647345113,32.3374228908626,8112,301,4,35,STAR,20.9374,20.2233,20.22946,20.28913,20.43159
2MASXJ01071026+3220485,1237680315521237319,16.7928263637264,32.3468723190341,8112,301,4,35,GALAXY,18.42509,16.79932,16.11763,15.77143,15.49772
NGC0375,1237680315521237284,16.7746677651008,32.3481104762345,8112,301,4,35,GALAXY,16.67442,14.97292,14.21562,13.81704,13.52815
NGC0385,1237680315521302536,16.8634439278517,32.319863750622,8112,301,4,36,GALAXY,15.26774,13.42533,12.60847,12.21577,11.98954
SDSSJ010700.04+322915.4,1237680311772250433,16.7501692509428,32.4876162300731,8111,301,5,174,GALAXY,25.73051,21.67317,20.19729,19.14126,18.62998
SDSSJ010703.19+321930.2,1237680315521237663,16.7633045331268,32.3250828685831,8112,301,4,35,GALAXY,25.28541,21.15448,19.36943,18.66347,18.47064
NGC0384,1237680315521302535,16.8542391137913,32.2927528542505,8112,301,4,36,GALAXY,15.61294,13.70652,12.83788,12.42931,12.13859
SRGb090,1237680315521237664,16.7633425983727,32.3221406305762,8112,301,4,35,STAR,22.63882,22.25517,20.87851,19.40718,18.6468
SDSSJ010746.28+321840.4,1237680315521302830,16.9428786454543,32.3112380296169,8112,301,4,36,GALAXY,22.05215,22.76932,19.85489,18.33902,17.56501
WHLJ010759.6+322216,1237680311772381879,16.9985061317899,32.3712209661708,8111,301,5,176,GALAXY,23.62318,21.42858,19.91373,19.19256,18.71733
NGC0388,1237680315521302829,16.94647046683,32.3099284369802,8112,301,4,36,GALAXY,16.78941,14.93982,14.14711,13.77518,13.46625
