ObjectName,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
2MASSJ01234862+3313164,1237678892815679783,20.9525992695723,33.2212059866315,7781,301,2,71,STAR,21.18462,18.49224,17.45654,17.05574,16.81829
SDSSJ012353.87+331427.1,1237678892815680242,20.9744692444079,33.2408849176715,7781,301,2,71,GALAXY,23.21758,21.62203,20.0851,18.78316,17.92096
SDSSJ012333.68+331927.2,1237678806920266492,20.8903532000318,33.3242324226615,7761,301,2,131,GALAXY,26.12337,21.41372,19.37147,18.79947,18.19681
NGC0503,1237678806920265786,20.8684379630373,33.3318310108531,7761,301,2,131,GALAXY,16.84275,14.96324,13.97122,13.60478,13.30377
ARK039,1237678806920331477,20.993832818324,33.3132387260292,7761,301,2,132,GALAXY,16.72783,14.85966,13.9903,13.56937,13.24555
2MASXJ01234321+3321012,1237678806920266099,20.9301228085221,33.3504634240638,7761,301,2,131,GALAXY,20.60455,18.39374,16.98464,16.44493,16.05157
SDSSJ012407.98+331510.6,1237666214078251238,21.0332827464047,33.2529474574358,4829,301,2,163,GALAXY,21.12624,20.21909,19.73185,19.02049,19.40612
2MASXJ01235909+3319541,1237678806920331280,20.9960388802271,33.3315010431732,7761,301,2,132,GALAXY,17.97698,16.33028,15.53946,15.15866,14.85466
SDSSJ012318.29+331944.4,1237678806920265995,20.8262245610557,33.3289984437565,7761,301,2,131,GALAXY,25.67504,21.94152,20.4831,19.6361,19.06292
IC1690,1237678892815679817,20.9564117605494,33.1562363547456,7781,301,2,71,GALAXY,16.83667,14.89132,14.03542,13.61219,13.23823
SDSSJ012411.21+331412.1,1237666214078251592,21.0467327223717,33.2367160123775,4829,301,2,163,GALAXY,21.9906,20.23011,18.97914,18.40113,18.09112
SDSSJ012409.31+331047.9,1237666214078251354,21.0388292042424,33.179994114911,4829,301,2,163,STAR,20.12369,19.8012,19.68631,19.55035,19.5915
SDSSJ012406.33+330943.8,1237666214078251844,21.0263947301545,33.162170681492,4829,301,2,163,GALAXY,22.13348,21.14367,19.3445,18.69378,18.01586
SDSSJ012308.93+331956.9,1237678806920201065,20.7872201837898,33.3324943445553,7761,301,2,130,GALAXY,25.37497,22.71787,20.44591,19.50281,18.9227
SDSSJ012301.13+331516.3,1237678892815549502,20.7547199760332,33.2545336522138,7781,301,2,69,GALAXY,23.03555,21.67257,19.83792,19.02062,18.53946
2MASXJ01232343+3322542,1237678806920266014,20.8476904762671,33.3816896619527,7761,301,2,131,GALAXY,17.98633,16.29919,15.50038,15.1068,14.81529
SDSSJ012419.76+331431.9,1237666214078251221,21.0823564937507,33.2422104758438,4829,301,2,163,STAR,22.82353,20.4102,19.83641,19.55521,19.50867
WHLJ012356.6+330657,1237666214078186055,20.985655516708,33.1159689072605,4829,301,2,162,GALAXY,22.38175,19.73284,18.25113,17.68349,17.31757
2MASSJ01235652+3306576,1237666214078186055,20.985655516708,33.1159689072605,4829,301,2,162,GALAXY,22.38175,19.73284,18.25113,17.68349,17.31757
SDSSJ012259.77+331141.3,1237678892815549508,20.7490597258846,33.1948275477303,7781,301,2,69,GALAXY,26.94361,21.29601,19.65007,18.81583,18.38922
SDSSJ012300.75+331057.0,1237678892815549527,20.7531590833903,33.1825138004927,7781,301,2,69,GALAXY,23.46607,21.92555,20.6853,19.81266,19.09612
RMJ012340.2+330553.5,1237678806383395589,20.9176576212302,33.0981897659993,7761,301,1,131,GALAXY,21.61646,19.93945,18.39059,17.80167,17.48322
2MASXJ01234027+3305532,1237678806383395589,20.9176576212302,33.0981897659993,7761,301,1,131,GALAXY,21.61646,19.93945,18.39059,17.80167,17.48322
2MASSJ01235023+3324397,1237678806920265908,20.959342537919,33.4109712182922,7761,301,2,131,STAR,18.80154,17.83974,17.46183,17.31343,17.28286
SDSSJ012416.59+332114.0,1237666214078317155,21.0691290571959,33.353887633822,4829,301,2,164,STAR,21.55536,20.94063,20.89708,20.70387,20.32894
