ObjectName,objID,ra,dec,run,rerun,camcol,field,type,u0,g0,r0,i0,z0
GALEXMSCJ031926.77+413303.4,1237661059574334542,49.8638587981325,41.5577470524249,3629,301,1,67,GALAXY,22.77582,21.35618,20.07635,19.22329,19.02095
ABELL0426:[CGW2003]24,1237670960021373223,49.8117737032304,41.4770044799186,5934,301,2,228,STAR,17.97499,16.67785,16.19842,16.05497,16.03646
2MASXJ03194485+4123551,1237661122388033863,49.9367551220737,41.3986865833141,3643,301,6,64,GALAXY,19.85011,17.67934,16.67815,16.28391,16.02011
GALEXASCJ031946.16+413735.7,1237661059574334251,49.9432665535826,41.6260932546925,3629,301,1,67,GALAXY,22.80885,21.34817,20.67822,20.30177,20.03418
ABELL0426:[CGW2003]19,1237661059574269819,49.7892137071488,41.5253553846134,3629,301,1,66,GALAXY,21.03937,20.10114,19.5621,19.2715,19.07069
ABELL0426:[CGW2003]18,1237661059574270262,49.7873600852508,41.5450256038202,3629,301,1,66,GALAXY,21.75076,20.98168,20.53663,20.28472,20.1354
2MASSJ03190509+4128126,1237661055281725886,49.7712214287967,41.4702044768371,3628,301,1,103,GALAXY,17.37748,15.94626,15.27516,14.88396,14.53663
2MASXJ03200094+4120273,1237661055281857482,50.0039643132484,41.3409569285286,3628,301,1,105,GALAXY,20.25488,18.25254,17.22767,16.82025,16.4851
2MASSJ03204657+4130435,1237661059574400342,50.193912184956,41.5120604172592,3629,301,1,68,GALAXY,18.39239,17.44303,17.05527,16.73814,16.69556
ABELL0426:[CGW2003]05,1237661122387969294,49.7321137619741,41.3949197037444,3643,301,6,63,GALAXY,22.85511,21.07549,20.27019,19.96787,19.90019
SDSSJ032026.40+412052.5,1237661059574400792,50.1100350762831,41.3479373198943,3629,301,1,68,STAR,21.05387,19.60155,19.09876,18.91987,18.93237
2MASXJ03193195+4118151,1237661055281856551,49.8831911264568,41.3042338061308,3628,301,1,105,GALAXY,18.43772,16.94269,16.11892,15.73993,15.49871
SDSSJ031936.68+414447.2,1237670458048447936,49.902873101609,41.7464765763618,5817,301,3,249,STAR,20.66392,19.88936,19.41305,19.34298,19.30149
2MASSJ03204249+4141408,1237661055818663393,50.1775974562252,41.6947119938161,3628,301,2,104,GALAXY,20.23378,18.30601,17.35818,16.9568,16.66113
WHLJ032042.2+414342,1237661055818663302,50.1758093310415,41.728401129455,3628,301,2,104,GALAXY,23.37439,21.19113,19.7696,18.6432,18.15552
2MASXJ03201053+4114443,1237661055281856842,50.043779655271,41.2456151035167,3628,301,1,105,GALAXY,18.76813,17.36639,16.68432,16.29661,16.09387
SDSSJ031827.08+414304.7,1237661059574204239,49.6128697536426,41.7179849937923,3629,301,1,65,STAR,20.65796,20.04055,19.72782,19.70675,19.61098
WHLJ031807.9+412455,1237661055281726855,49.5330389982913,41.4152367275432,3628,301,1,103,GALAXY,20.50257,18.58999,17.24447,16.73513,16.41957
