ObjectName,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
SA0426-030,1237661059574334435,49.9323233236051,41.4751177635532,3629,301,1,67,STAR,22.9136,20.84555,20.01817,19.63163,19.28234
VZw338,1237661059574399032,50.0216084638056,41.5086984393312,3629,301,1,68,GALAXY,25.59962,23.61147,21.99656,21.19446,20.78216
2MASXJ03200271+4130333,1237661059574399032,50.0216084638056,41.5086984393312,3629,301,1,68,GALAXY,25.59962,23.61147,21.99656,21.19446,20.78216
NGC1279,1237661059574399003,49.9960587309178,41.4796031233691,3629,301,1,68,GALAXY,16.52323,14.58741,13.61765,13.14902,12.80286
2MASXJ03194386+4127251,1237661059574334072,49.932572183739,41.4569819802843,3629,301,1,67,GALAXY,18.299,16.1447,15.13068,14.61242,14.2132
RSCG21,1237661059574334006,49.9044894260592,41.5610128980132,3629,301,1,67,STAR,21.43548,19.08224,18.01691,17.62887,17.36703
2MASXJ03194466+4126472,1237661059574334104,49.9359622447963,41.4464621386771,3629,301,1,67,GALAXY,18.43154,16.4852,15.52645,15.06612,14.66228
GALEXMSCJ031926.90+412716.9,1237670960021374406,49.8625160801028,41.4546161207848,5934,301,2,228,GALAXY,20.49615,18.5185,17.62579,17.20538,16.9389
ABELL0426:[CGW2003]39,1237670960021374080,49.8807909056655,41.4414291470443,5934,301,2,228,GALAXY,20.6252,18.84713,18.01474,17.6232,17.33398
2MASXJ03194292+4136031,1237661059574333649,49.9286896567824,41.6007242293514,3629,301,1,67,GALAXY,18.55726,16.67617,15.76718,15.30792,14.96023
SSTSL2J031946.08+412451.5,1237670960021374404,49.9420009333119,41.414332090556,5934,301,2,228,GALAXY,22.90683,21.92249,20.8303,20.44612,19.71324
2MASXJ03195290+4136312,1237661059574334013,49.97050602745,41.6087855126816,3629,301,1,67,GALAXY,18.40406,16.48969,15.59277,15.13966,14.80942
ABELL0426:[CGW2003]29,1237661122387969371,49.8282863339933,41.4423948747219,3643,301,6,63,GALAXY,25.18652,21.9408,20.90718,20.8688,20.77784
2MASXJ03192236+4125461,1237661122388033567,49.8433339326279,41.4293429861764,3643,301,6,64,GALAXY,17.44371,15.2982,14.2729,13.76602,13.38329
ABELL0426:[CGW2003]20,1237661055281727536,49.7934713177587,41.4935928934103,3628,301,1,103,GALAXY,21.76281,19.61132,18.80521,18.32794,18.10866
BGP073,1237661059574401505,50.1114780303623,41.4826081303745,3629,301,1,68,GALAXY,24.18698,24.18307,22.40037,22.591,22.22158
2MASXJ03193743+4137580,1237661059574333464,49.9061197592301,41.6328754034023,3629,301,1,67,GALAXY,17.6186,15.63256,14.67934,14.20517,13.84515
2MASXJ03202856+4129195,1237661059574399621,50.1192252410432,41.4888413840045,3629,301,1,68,GALAXY,17.74145,15.70291,14.69726,14.17049,13.82596
2MASXJ03202936+4130525,1237661059574399450,50.1222973717952,41.514566162899,3629,301,1,68,GALAXY,17.64768,15.72031,14.77543,14.30028,13.98595
NGC1281,1237661059574333719,50.0254883798307,41.6300421406017,3629,301,1,67,GALAXY,16.75372,14.50883,13.4677,12.94172,12.54305
2MASXJ03203087+4130325,1237661059574399449,50.1287835158395,41.5089567121631,3629,301,1,68,GALAXY,17.14812,15.09866,14.12666,13.61047,13.23493
2MASXJ03193765+4122490,1237661122388034402,49.9066992265763,41.3800473551305,3643,301,6,64,GALAXY,18.73021,16.68105,15.78847,15.31839,14.95809
UGC02665,1237661059574268779,49.8640621042456,41.6352685674848,3629,301,1,66,GALAXY,16.84088,15.16642,14.23731,13.79008,13.40893
NGC1283,1237661059574399672,50.0646761381612,41.3986490517122,3629,301,1,68,GALAXY,16.63718,14.52464,13.50234,12.97742,12.64027
NSA133302,1237661055281725861,49.7693234812514,41.4685865982098,3628,301,1,103,GALAXY,17.9362,15.9059,14.95823,14.42153,14.12187
2MASXJ03190242+4133011,1237661059574268612,49.7600461174246,41.5502349912345,3629,301,1,66,GALAXY,17.78279,15.7674,14.86602,14.43065,14.05109
ABELL0426:[CGW2003]16,1237661122387969301,49.7751233072808,41.438565808691,3643,301,6,63,GALAXY,21.71463,20.44021,19.45485,19.01354,19.05332
ABELL0426:[CGW2003]10,1237661055281727478,49.7514991732838,41.4839673656357,3628,301,1,103,GALAXY,22.34048,21.13008,20.46644,20.19328,19.80219
2MASXJ03203300+4134265,1237661059574399387,50.1374705001814,41.5741245775041,3629,301,1,68,GALAXY,17.79128,15.73595,14.72013,14.21894,13.91005
NGC1270,1237661055281725847,49.7421128002042,41.4701208499076,3628,301,1,103,GALAXY,16.10412,13.91024,12.83357,12.3057,11.9298
NGC1282,1237661055281856922,50.0504417758887,41.366986183941,3628,301,1,105,GALAXY,15.76186,13.71109,12.76543,12.27884,11.92883
2MASXJ03191772+4138391,1237661059574268534,49.8239777114703,41.6443501810084,3629,301,1,66,GALAXY,17.16612,15.09637,14.10256,13.62741,13.24059
MCG+07-07-070,1237661055818662378,50.0919190530383,41.6409169240675,3628,301,2,104,GALAXY,15.79343,14.92256,14.49762,14.40685,14.28626
[TSK2008]0344,1237661055281856985,50.0549222531422,41.3613533732075,3628,301,1,105,STAR,24.06162,24.16672,23.19859,22.29299,22.91842
2MASXJ03202094+4122254,1237661059574399831,50.0873396338013,41.3737384253356,3629,301,1,68,GALAXY,17.97262,15.87589,14.85294,14.35358,13.97461
2MASXJ03201009+4121043,1237661055281856931,50.0421996114376,41.3511482548724,3628,301,1,105,GALAXY,17.08822,15.73901,15.10569,14.76094,14.50785
2MASXJ03190207+4137121,1237661059574269233,49.7588315410012,41.6199281631011,3629,301,1,66,GALAXY,18.5124,16.56209,15.59295,15.12688,14.76156
2MASXJ03194021+4119450,1237661055281856613,49.9174877752449,41.329199124333,3628,301,1,105,GALAXY,17.72459,15.62525,14.61876,14.12797,13.74741
2MASXJ03201737+4120562,1237661055281856927,50.0724503707054,41.3489308050053,3628,301,1,105,GALAXY,18.02021,16.07357,15.09124,14.61936,14.22304
NGC1271,1237661122388033579,49.7970434338466,41.3531956441627,3643,301,6,64,GALAXY,16.81728,14.72615,13.69496,13.17231,12.78661
