Object Name,RA,DEC
2MASS J20545876+3315181,313.74487,33.25504
2MASS J20545816+3315208,313.74237,33.25579
2MASS J20545920+3315233,313.74669,33.25649
2MASS J20545864+3315057,313.74435,33.2516
2MASS J20550000+3315237,313.75004,33.25659
2MASS J20545796+3315445,313.74151,33.26238
2MASS J20545924+3315447,313.74687,33.26243
2MASS J20545832+3315501,313.743,33.26394
2MASS J20550022+3315420,313.75092,33.26169
2MASS J20545662+3315418,313.73595,33.26161
2MASS J20550072+3315466,313.75302,33.26295
2MASS J20545649+3314550,313.73538,33.24863
2MASS J20545995+3314451,313.74983,33.24588
2MASS J20545533+3315143,313.73055,33.25398
2MASS J20545534+3315088,313.73061,33.25245
2MASS J20550201+3315220,313.75838,33.25612
2MASS J20545764+3314391,313.74018,33.24422
2MASS J20545909+3314364,313.74624,33.24345
2MASS J20550014+3316040,313.75061,33.2678
2MASS J20550243+3315167,313.76014,33.25464
2MASS J20550264+3315366,313.76101,33.26018
2MASS J20545542+3315579,313.73092,33.2661
2MASS J20545742+3314297,313.73925,33.2416
2MASS J20545696+3316119,313.73735,33.26999
2MASS J20550020+3314291,313.75084,33.24144
2MASS J20550180+3314398,313.7575,33.24441
2MASS J20550320+3315153,313.76337,33.25426
