#Table1
ObjectName,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
2MASXJ01235909+3319541,1237678806920331280,20.9960388614907,33.3315010388731,7761,301,2,132,GALAXY,17.96564,16.32737,15.53793,15.16132,14.86793
2MASXJ01232343+3322542,1237678806920266014,20.8476904598549,33.3816896581958,7761,301,2,131,GALAXY,17.97799,16.29374,15.50044,15.11053,14.82934
2MASSJ01230478+3258262,1237678806383394886,20.7699379558711,32.9739423852854,7761,301,1,131,STAR,17.45345,16.12201,15.58074,15.35177,15.24707
2MASXJ01221171+3326573,1237666214615187800,20.5489241927113,33.4491779652452,4829,301,3,164,GALAXY,18.11771,16.38744,15.57005,15.16195,14.86548
2MASSJ01223792+3255118,1237666214614991000,20.6580953624824,32.9199652944544,4829,301,3,161,STAR,17.98246,16.886,16.39206,16.19666,16.10409
2MASXJ01211822+3309310,1237678806383198451,20.3258549122073,33.1586668459199,7761,301,1,128,GALAXY,18.12964,16.42603,15.66454,15.29257,15.0165
2MASXJ01255535+3326144,1237678806920462613,21.4807519925049,33.4372902519358,7761,301,2,134,GALAXY,18.31546,16.45316,15.53504,15.08297,14.72295
2MASSJ01214803+3255210,1237666214614990978,20.4501401174927,32.9224974834992,4829,301,3,161,STAR,17.14606,16.05585,15.82728,15.76851,15.75981
2MASSJ01211520+3301380,1237678806383198314,20.3133698950546,33.0272379923537,7761,301,1,128,STAR,18.42354,16.8828,16.34526,16.16403,16.08368
2MASSJ01224836+3242167,1237680316596420632,20.7015255355211,32.7045996485267,8112,301,6,57,STAR,17.72946,16.12367,15.52815,15.33792,15.25975
2MASSJ01225753+3241235,1237680316596420663,20.7397562505715,32.6898698442606,8112,301,6,57,STAR,18.17804,16.60907,15.89598,15.61013,15.44173
2MASSJ01230609+3240223,1237680316596420676,20.7753911518314,32.6728466127502,8112,301,6,57,STAR,18.13348,16.45219,15.86095,15.65289,15.55676
2MASXJ01222353+3348541,1237666214615384350,20.5979105523745,33.8149611039166,4829,301,3,167,GALAXY,18.61014,16.79098,15.96889,15.56386,15.24578
2MASSJ01211411+3253006,1237678892278546596,20.3088286149193,32.8835206779576,7781,301,1,67,STAR,17.33485,16.06889,15.61809,15.36858,15.37755
2MASSJ01232954+3235389,1237680316596486363,20.8731195946749,32.5941196967492,8112,301,6,58,STAR,18.77013,17.07782,16.41286,16.182,16.05266
GALEXASCJ012037.86+333326.7,1237666215152124183,20.1571966631292,33.5570716181992,4829,301,4,165,GALAXY,18.07695,16.73338,16.383,16.20445,16.23403
KUG0121+337A,1237678893889356163,21.0255371290085,34.0126744084912,7781,301,4,70,GALAXY,17.70656,16.85159,16.48273,16.43958,16.31662
2MASSJ01200461+3307229,1237666215151927323,20.0192632790687,33.1230720565733,4829,301,4,162,STAR,17.62391,16.66078,16.34205,16.20537,16.17721
2MASSJ01242728+3230128,1237666214077923522,21.1136763622273,32.5035537635154,4829,301,2,158,STAR,18.95764,17.02558,16.2469,15.97234,15.80902
2MASSJ01222381+3231270,1237666214614794409,20.5991820907522,32.5241414595478,4829,301,3,158,STAR,17.39315,16.41582,16.01128,15.86113,15.78897
2MASSJ01244200+3229560,1237680312310759525,21.175005151027,32.4988317620126,8111,301,6,199,STAR,18.06994,16.58073,16.01416,15.81523,15.73266
2MASSJ01230244+3228330,1237680312310628367,20.7601958871559,32.475787465234,8111,301,6,197,STAR,18.09595,16.6325,16.08961,15.8882,15.80622
2MASSJ01214086+3234102,1237666214614794639,20.4202617023898,32.5694802872693,4829,301,3,158,GALAXY,19.15701,17.31333,16.42134,15.98126,15.657
2MASSJ01240778+3227172,1237666214077923426,21.0324458496873,32.4547908804599,4829,301,2,158,STAR,18.75397,17.13358,16.44495,16.18399,16.03783
2MASXJ01204408+3348062,1237666215152189969,20.1837524957284,33.8017520930506,4829,301,4,166,GALAXY,19.29749,17.41411,16.49258,16.04695,15.70661
2MFGC01042,1237666214615450070,20.6215999169977,34.0400148161355,4829,301,3,168,GALAXY,17.72379,16.32042,15.61603,15.22439,14.94723
